game,player 1 score,player 2 score,steps,total score
1,20.0,-20.0,833,20.0
2,20.0,-20.0,1052,20.0
3,19.0,-19.0,1022,19.0
4,18.0,-18.0,1037,18.0
5,21.0,-21.0,759,21.0
6,21.0,-21.0,1529,21.0
7,20.0,-20.0,988,20.0
8,19.0,-19.0,966,19.0
9,14.0,-14.0,1346,14.0
10,20.0,-20.0,1124,20.0
11,18.0,-18.0,1245,18.0
12,16.0,-16.0,1176,16.0
13,20.0,-20.0,834,20.0
14,20.0,-20.0,1068,20.0
15,20.0,-20.0,832,20.0
16,19.0,-19.0,894,19.0
17,19.0,-19.0,1043,19.0
18,20.0,-20.0,1347,20.0
19,20.0,-20.0,941,20.0
20,20.0,-20.0,1175,20.0
21,17.0,-17.0,1175,17.0
22,19.0,-19.0,1010,19.0
23,16.0,-16.0,1590,16.0
24,19.0,-19.0,925,19.0
25,20.0,-20.0,1234,20.0
26,20.0,-20.0,837,20.0
27,17.0,-17.0,1242,17.0
28,19.0,-19.0,1030,19.0
29,21.0,-21.0,1213,21.0
30,21.0,-21.0,1020,21.0
31,17.0,-17.0,1077,17.0
32,19.0,-19.0,1045,19.0
33,21.0,-21.0,1403,21.0
34,16.0,-16.0,1256,16.0
35,13.0,-13.0,1323,13.0
36,20.0,-20.0,1111,20.0
37,20.0,-20.0,1763,20.0
38,13.0,-13.0,1378,13.0
39,21.0,-21.0,1233,21.0
40,18.0,-18.0,897,18.0
41,20.0,-20.0,1275,20.0
42,11.0,-11.0,1281,11.0
43,20.0,-20.0,878,20.0
44,20.0,-20.0,1185,20.0
45,20.0,-20.0,1003,20.0
46,21.0,-21.0,1251,21.0
47,20.0,-20.0,839,20.0
48,20.0,-20.0,1010,20.0
49,20.0,-20.0,917,20.0
50,20.0,-20.0,993,20.0
51,20.0,-20.0,1056,20.0
52,21.0,-21.0,796,21.0
53,21.0,-21.0,782,21.0
54,19.0,-19.0,1014,19.0
55,16.0,-16.0,1042,16.0
56,20.0,-20.0,1120,20.0
57,13.0,-13.0,1478,13.0
58,19.0,-19.0,1232,19.0
59,20.0,-20.0,831,20.0
60,20.0,-20.0,830,20.0
61,20.0,-20.0,1025,20.0
62,21.0,-21.0,784,21.0
63,20.0,-20.0,944,20.0
64,21.0,-21.0,1212,21.0
65,20.0,-20.0,886,20.0
66,20.0,-20.0,1383,20.0
67,19.0,-19.0,1078,19.0
68,21.0,-21.0,767,21.0
69,19.0,-19.0,909,19.0
70,20.0,-20.0,1144,20.0
71,20.0,-20.0,1151,20.0
72,20.0,-20.0,880,20.0
73,18.0,-18.0,1065,18.0
74,20.0,-20.0,966,20.0
75,20.0,-20.0,912,20.0
76,20.0,-20.0,903,20.0
77,19.0,-19.0,909,19.0
78,20.0,-20.0,1209,20.0
79,19.0,-19.0,1168,19.0
80,20.0,-20.0,841,20.0
81,21.0,-21.0,787,21.0
82,21.0,-21.0,1281,21.0
83,19.0,-19.0,1071,19.0
84,21.0,-21.0,763,21.0
85,20.0,-20.0,893,20.0
86,19.0,-19.0,1029,19.0
87,18.0,-18.0,1379,18.0
88,20.0,-20.0,1050,20.0
89,17.0,-17.0,1454,17.0
90,21.0,-21.0,808,21.0
91,20.0,-20.0,1148,20.0
92,20.0,-20.0,951,20.0
93,20.0,-20.0,891,20.0
94,18.0,-18.0,1168,18.0
95,16.0,-16.0,1407,16.0
96,20.0,-20.0,921,20.0
97,19.0,-19.0,1493,19.0
98,20.0,-20.0,839,20.0
