game,player 1 score,player 2 score,steps,total score
1,-6.0,6.0,2907,-6.0
2,-7.0,7.0,2697,-7.0
3,-11.0,11.0,2340,-11.0
4,4.0,-4.0,3321,4.0
5,-6.0,6.0,2621,-6.0
6,-8.0,8.0,2832,-8.0
7,5.0,-5.0,2883,5.0
8,-2.0,2.0,3820,-2.0
9,-2.0,2.0,3385,-2.0
10,-10.0,10.0,2342,-10.0
11,4.0,-4.0,2709,4.0
12,-8.0,8.0,2900,-8.0
13,2.0,-2.0,3094,2.0
14,-2.0,2.0,3366,-2.0
15,-9.0,9.0,2938,-9.0
16,-7.0,7.0,2821,-7.0
17,-13.0,13.0,2204,-13.0
18,-3.0,3.0,2928,-3.0
19,-12.0,12.0,2315,-12.0
20,-3.0,3.0,3029,-3.0
21,2.0,-2.0,3141,2.0
22,-9.0,9.0,2371,-9.0
23,-6.0,6.0,2897,-6.0
24,-7.0,7.0,2501,-7.0
25,-3.0,3.0,2751,-3.0
26,-7.0,7.0,2480,-7.0
27,-9.0,9.0,2686,-9.0
28,-4.0,4.0,3254,-4.0
29,-7.0,7.0,4215,-7.0
30,-5.0,5.0,3305,-5.0
31,-14.0,14.0,2193,-14.0
32,-7.0,7.0,2535,-7.0
33,4.0,-4.0,3100,4.0
34,12.0,-12.0,2268,12.0
35,-3.0,3.0,3246,-3.0
36,-5.0,5.0,3234,-5.0
37,-11.0,11.0,2263,-11.0
38,-7.0,7.0,2990,-7.0
39,-12.0,12.0,2191,-12.0
40,-10.0,10.0,2488,-10.0
41,-7.0,7.0,2971,-7.0
42,-4.0,4.0,3227,-4.0
43,-13.0,13.0,1939,-13.0
44,-3.0,3.0,3051,-3.0
45,-9.0,9.0,2702,-9.0
46,3.0,-3.0,3307,3.0
47,-8.0,8.0,3633,-8.0
48,-10.0,10.0,2965,-10.0
49,-7.0,7.0,2431,-7.0
50,-12.0,12.0,2256,-12.0
51,-8.0,8.0,2520,-8.0
52,-8.0,8.0,2752,-8.0
53,-9.0,9.0,2528,-9.0
54,-5.0,5.0,2439,-5.0
55,7.0,-7.0,3182,7.0
56,-9.0,9.0,2359,-9.0
57,3.0,-3.0,3075,3.0
58,-6.0,6.0,2717,-6.0
59,1.0,-1.0,3212,1.0
60,-13.0,13.0,2423,-13.0
61,-1.0,1.0,3343,-1.0
62,-1.0,1.0,3196,-1.0
63,-6.0,6.0,2821,-6.0
64,-9.0,9.0,2970,-9.0
65,-5.0,5.0,2774,-5.0
66,-7.0,7.0,2562,-7.0
67,-7.0,7.0,3050,-7.0
68,-4.0,4.0,3222,-4.0
69,4.0,-4.0,2740,4.0
70,-13.0,13.0,2090,-13.0
71,-5.0,5.0,2836,-5.0
72,1.0,-1.0,2803,1.0
73,-8.0,8.0,3134,-8.0
74,-7.0,7.0,2718,-7.0
