game,player 1 score,player 2 score,steps,total score
1,-20.0,20.0,905,-20.0
2,-17.0,17.0,1320,-17.0
3,-16.0,16.0,2041,-16.0
4,-20.0,20.0,855,-20.0
5,-20.0,20.0,1033,-20.0
6,-20.0,20.0,1126,-20.0
7,-20.0,20.0,1087,-20.0
8,-20.0,20.0,1008,-20.0
9,-15.0,15.0,1973,-15.0
10,-20.0,20.0,923,-20.0
11,-17.0,17.0,1505,-17.0
12,-20.0,20.0,864,-20.0
13,-20.0,20.0,1045,-20.0
14,-20.0,20.0,825,-20.0
15,-20.0,20.0,818,-20.0
16,-16.0,16.0,1728,-16.0
17,-20.0,20.0,1042,-20.0
18,-17.0,17.0,2331,-17.0
19,-16.0,16.0,1937,-16.0
20,-20.0,20.0,823,-20.0
21,-20.0,20.0,957,-20.0
22,-20.0,20.0,1051,-20.0
23,-17.0,17.0,2739,-17.0
24,-15.0,15.0,1839,-15.0
25,-20.0,20.0,980,-20.0
26,-16.0,16.0,1860,-16.0
27,-20.0,20.0,814,-20.0
28,-20.0,20.0,925,-20.0
29,-15.0,15.0,2747,-15.0
30,-20.0,20.0,974,-20.0
31,-20.0,20.0,815,-20.0
32,-20.0,20.0,877,-20.0
33,-20.0,20.0,1377,-20.0
34,-20.0,20.0,903,-20.0
35,-20.0,20.0,944,-20.0
36,-20.0,20.0,975,-20.0
37,-5.0,5.0,2474,-5.0
38,-16.0,16.0,1927,-16.0
39,-20.0,20.0,896,-20.0
40,-20.0,20.0,1079,-20.0
41,-20.0,20.0,847,-20.0
42,-20.0,20.0,871,-20.0
43,-20.0,20.0,836,-20.0
44,-20.0,20.0,814,-20.0
45,-17.0,17.0,2040,-17.0
46,-20.0,20.0,1065,-20.0
47,-20.0,20.0,927,-20.0
48,-17.0,17.0,1944,-17.0
49,-20.0,20.0,1360,-20.0
50,-20.0,20.0,999,-20.0
51,-20.0,20.0,1159,-20.0
52,-20.0,20.0,1069,-20.0
53,-17.0,17.0,1739,-17.0
54,-16.0,16.0,2461,-16.0
55,-20.0,20.0,970,-20.0
56,-15.0,15.0,1534,-15.0
57,-20.0,20.0,894,-20.0
58,-15.0,15.0,1401,-15.0
59,-20.0,20.0,845,-20.0
60,-16.0,16.0,1686,-16.0
61,-17.0,17.0,1756,-17.0
62,-20.0,20.0,1165,-20.0
63,-17.0,17.0,2329,-17.0
64,-21.0,21.0,1554,-21.0
65,-20.0,20.0,928,-20.0
66,-20.0,20.0,1017,-20.0
67,-20.0,20.0,885,-20.0
68,-17.0,17.0,1231,-17.0
69,-20.0,20.0,888,-20.0
70,-17.0,17.0,1541,-17.0
71,-13.0,13.0,3094,-13.0
72,-20.0,20.0,1147,-20.0
73,-20.0,20.0,1002,-20.0
74,-17.0,17.0,1685,-17.0
75,-20.0,20.0,812,-20.0
76,-20.0,20.0,1349,-20.0
77,-20.0,20.0,1345,-20.0
78,-20.0,20.0,811,-20.0
79,-13.0,13.0,2258,-13.0
80,-16.0,16.0,1885,-16.0
81,-20.0,20.0,1252,-20.0
82,-20.0,20.0,1096,-20.0
83,-20.0,20.0,876,-20.0
84,-15.0,15.0,1843,-15.0
85,-20.0,20.0,1032,-20.0
86,-20.0,20.0,1248,-20.0
87,-10.0,10.0,1679,-10.0
88,-20.0,20.0,890,-20.0
89,-17.0,17.0,1843,-17.0
90,-16.0,16.0,2306,-16.0
91,-20.0,20.0,936,-20.0
92,-15.0,15.0,1683,-15.0
93,-17.0,17.0,2299,-17.0
94,-20.0,20.0,1053,-20.0
95,-17.0,17.0,1546,-17.0
96,-17.0,17.0,1610,-17.0
97,-17.0,17.0,1546,-17.0
98,-20.0,20.0,851,-20.0
99,-17.0,17.0,1934,-17.0
100,-20.0,20.0,1152,-20.0
101,-20.0,20.0,1017,-20.0
102,-17.0,17.0,1855,-17.0
103,-16.0,16.0,2400,-16.0
104,-20.0,20.0,944,-20.0
105,-16.0,16.0,1677,-16.0
106,-20.0,20.0,872,-20.0
107,-14.0,14.0,2110,-14.0
108,-20.0,20.0,1066,-20.0
109,-20.0,20.0,859,-20.0
110,-20.0,20.0,845,-20.0
111,-14.0,14.0,1971,-14.0
112,-20.0,20.0,813,-20.0
113,-20.0,20.0,892,-20.0
114,-16.0,16.0,1850,-16.0
115,-20.0,20.0,849,-20.0
116,-20.0,20.0,823,-20.0
117,-20.0,20.0,881,-20.0
118,-18.0,18.0,2353,-18.0
119,-17.0,17.0,2182,-17.0
120,-20.0,20.0,897,-20.0
121,-16.0,16.0,1673,-16.0
122,-16.0,16.0,3162,-16.0
123,-20.0,20.0,1328,-20.0
124,-20.0,20.0,843,-20.0
125,-13.0,13.0,1767,-13.0
126,-20.0,20.0,1065,-20.0
127,-17.0,17.0,2889,-17.0
128,-20.0,20.0,1050,-20.0
129,-20.0,20.0,1009,-20.0
130,-20.0,20.0,938,-20.0
131,-20.0,20.0,1061,-20.0
132,-16.0,16.0,2066,-16.0
133,-16.0,16.0,2560,-16.0
134,-16.0,16.0,2016,-16.0
135,-17.0,17.0,2161,-17.0
136,-20.0,20.0,906,-20.0
137,-16.0,16.0,1973,-16.0
138,-14.0,14.0,2441,-14.0
139,-20.0,20.0,895,-20.0
140,-20.0,20.0,850,-20.0
141,-20.0,20.0,911,-20.0
142,-16.0,16.0,1973,-16.0
143,-16.0,16.0,2069,-16.0
144,-20.0,20.0,949,-20.0
145,-17.0,17.0,2119,-17.0
146,-20.0,20.0,808,-20.0
147,-19.0,19.0,1184,-19.0
148,-20.0,20.0,852,-20.0
149,-20.0,20.0,1491,-20.0
150,-16.0,16.0,2103,-16.0
151,-20.0,20.0,924,-20.0
152,-20.0,20.0,821,-20.0
153,-16.0,16.0,2117,-16.0
154,-20.0,20.0,853,-20.0
155,-20.0,20.0,979,-20.0
156,-20.0,20.0,817,-20.0
157,-20.0,20.0,856,-20.0
158,-20.0,20.0,1078,-20.0
159,-20.0,20.0,1023,-20.0
160,-15.0,15.0,2421,-15.0
161,-20.0,20.0,1009,-20.0
162,-16.0,16.0,2285,-16.0
163,-16.0,16.0,3280,-16.0
164,-20.0,20.0,1015,-20.0
165,-20.0,20.0,854,-20.0
166,-17.0,17.0,1506,-17.0
167,-14.0,14.0,1718,-14.0
168,-16.0,16.0,2518,-16.0
169,-16.0,16.0,2092,-16.0
170,-16.0,16.0,2087,-16.0
171,-20.0,20.0,810,-20.0
172,-20.0,20.0,856,-20.0
173,-18.0,18.0,1810,-18.0
174,-20.0,20.0,864,-20.0
175,-20.0,20.0,1044,-20.0
176,-20.0,20.0,908,-20.0
177,-16.0,16.0,1562,-16.0
178,-20.0,20.0,815,-20.0
179,-18.0,18.0,1944,-18.0
180,-20.0,20.0,808,-20.0
181,-20.0,20.0,864,-20.0
182,-16.0,16.0,2137,-16.0
183,-17.0,17.0,1835,-17.0
184,-20.0,20.0,961,-20.0
185,-16.0,16.0,1910,-16.0
186,-20.0,20.0,812,-20.0
187,-15.0,15.0,1879,-15.0
188,-14.0,14.0,1851,-14.0
189,-12.0,12.0,1863,-12.0
190,-20.0,20.0,1440,-20.0
191,-15.0,15.0,2196,-15.0
192,-20.0,20.0,1020,-20.0
193,-20.0,20.0,856,-20.0
194,-14.0,14.0,1784,-14.0
195,-20.0,20.0,1112,-20.0
196,-19.0,19.0,1548,-19.0
197,-20.0,20.0,891,-20.0
198,-17.0,17.0,1953,-17.0
199,-20.0,20.0,1202,-20.0
200,-16.0,16.0,2733,-16.0
201,-20.0,20.0,1054,-20.0
202,-20.0,20.0,899,-20.0
203,-20.0,20.0,835,-20.0
204,-16.0,16.0,1475,-16.0
205,-20.0,20.0,1865,-20.0
206,-20.0,20.0,1010,-20.0
207,-14.0,14.0,2772,-14.0
208,-20.0,20.0,1312,-20.0
209,-16.0,16.0,2134,-16.0
210,-16.0,16.0,1895,-16.0
211,-13.0,13.0,2108,-13.0
212,-20.0,20.0,1199,-20.0
213,-20.0,20.0,916,-20.0
214,-18.0,18.0,986,-18.0
215,-16.0,16.0,1950,-16.0
216,-20.0,20.0,1064,-20.0
217,-17.0,17.0,1709,-17.0
218,-20.0,20.0,846,-20.0
219,-14.0,14.0,2386,-14.0
220,-20.0,20.0,1036,-20.0
221,-17.0,17.0,1589,-17.0
222,-20.0,20.0,855,-20.0
223,-20.0,20.0,813,-20.0
224,-20.0,20.0,1005,-20.0
225,-15.0,15.0,2107,-15.0
226,-16.0,16.0,1692,-16.0
227,-18.0,18.0,3008,-18.0
228,-15.0,15.0,2646,-15.0
229,-20.0,20.0,811,-20.0
230,-16.0,16.0,2073,-16.0
231,-13.0,13.0,3239,-13.0
232,-16.0,16.0,2346,-16.0
233,-20.0,20.0,1241,-20.0
234,-20.0,20.0,1413,-20.0
235,-20.0,20.0,893,-20.0
236,-17.0,17.0,2245,-17.0
237,-20.0,20.0,888,-20.0
238,-20.0,20.0,1130,-20.0
239,-17.0,17.0,1687,-17.0
240,-20.0,20.0,1163,-20.0
241,-20.0,20.0,876,-20.0
242,-17.0,17.0,1900,-17.0
243,-20.0,20.0,857,-20.0
244,-20.0,20.0,813,-20.0
245,-20.0,20.0,814,-20.0
