game,score,steps
1,-20.0,954
2,-21.0,783
3,-20.0,955
4,-21.0,881
5,-21.0,818
6,-21.0,877
7,-21.0,788
8,-20.0,954
9,-21.0,822
10,-20.0,959
11,-21.0,817
12,-21.0,881
13,-20.0,954
14,-20.0,959
15,-21.0,1001
16,-20.0,957
17,-21.0,786
18,-21.0,783
19,-20.0,959
20,-21.0,817
21,-21.0,819
22,-21.0,822
23,-20.0,955
24,-20.0,896
25,-20.0,954
26,-21.0,789
27,-20.0,959
28,-21.0,879
29,-21.0,817
30,-20.0,956
31,-21.0,878
32,-21.0,785
33,-21.0,817
34,-21.0,787
35,-21.0,784
36,-21.0,787
37,-21.0,845
38,-21.0,783
39,-20.0,959
40,-20.0,958
41,-21.0,882
42,-21.0,787
43,-21.0,822
44,-21.0,817
45,-21.0,879
46,-21.0,820
47,-21.0,788
48,-20.0,957
49,-20.0,955
50,-21.0,786
51,-21.0,884
52,-21.0,788
53,-21.0,822
54,-21.0,784
55,-20.0,955
56,-21.0,790
57,-21.0,818
58,-21.0,789
59,-21.0,879
60,-21.0,822
61,-21.0,783
62,-21.0,785
63,-21.0,820
64,-21.0,817
65,-21.0,790
66,-20.0,1106
67,-21.0,790
68,-21.0,789
69,-21.0,788
70,-21.0,882
71,-20.0,959
72,-20.0,1043
73,-21.0,785
74,-21.0,783
75,-21.0,844
76,-21.0,785
77,-21.0,884
78,-21.0,785
79,-21.0,884
80,-20.0,955
81,-21.0,818
82,-21.0,788
83,-21.0,878
84,-21.0,819
85,-21.0,787
86,-21.0,816
87,-21.0,822
88,-20.0,956
89,-21.0,818
90,-21.0,821
91,-21.0,787
92,-20.0,958
93,-21.0,878
94,-21.0,787
95,-21.0,878
96,-20.0,1072
97,-21.0,784
98,-21.0,789
99,-21.0,880
100,-21.0,884
101,-21.0,1088
102,-20.0,959
103,-21.0,788
104,-20.0,955
105,-21.0,822
106,-21.0,820
107,-21.0,790
108,-21.0,786
109,-20.0,955
110,-21.0,789
