game,score,steps
1,-21.0,757
2,-21.0,758
3,-21.0,755
4,-21.0,758
5,-21.0,760
6,-21.0,755
7,-21.0,759
8,-21.0,760
9,-21.0,755
10,-21.0,756
11,-21.0,758
12,-21.0,760
13,-21.0,758
14,-21.0,760
15,-21.0,755
16,-21.0,758
17,-21.0,760
18,-21.0,757
19,-21.0,756
20,-21.0,762
21,-21.0,761
22,-21.0,755
23,-21.0,757
24,-21.0,756
25,-21.0,757
26,-21.0,756
27,-21.0,762
28,-21.0,761
29,-21.0,755
30,-21.0,757
31,-21.0,759
32,-21.0,761
33,-21.0,755
34,-21.0,759
35,-21.0,762
36,-21.0,756
37,-21.0,762
38,-21.0,759
39,-21.0,757
40,-21.0,758
41,-21.0,758
42,-21.0,762
43,-21.0,760
44,-21.0,759
45,-21.0,762
46,-21.0,760
47,-21.0,758
48,-21.0,762
49,-21.0,761
50,-21.0,757
51,-21.0,760
52,-21.0,760
53,-21.0,756
54,-21.0,756
55,-21.0,757
56,-21.0,762
57,-21.0,760
58,-21.0,762
59,-21.0,755
60,-21.0,760
61,-21.0,756
62,-21.0,760
63,-21.0,761
64,-21.0,760
65,-21.0,755
66,-21.0,760
67,-21.0,758
68,-21.0,760
69,-21.0,759
70,-21.0,762
71,-21.0,762
72,-21.0,760
73,-21.0,756
74,-21.0,760
75,-21.0,759
76,-21.0,760
77,-21.0,761
78,-21.0,762
79,-21.0,756
80,-21.0,756
81,-21.0,759
82,-21.0,758
83,-21.0,758
84,-21.0,761
85,-21.0,756
86,-21.0,757
87,-21.0,760
88,-21.0,757
89,-21.0,760
90,-21.0,756
91,-21.0,758
92,-21.0,756
93,-21.0,756
94,-21.0,758
95,-21.0,759
96,-21.0,755
97,-21.0,758
98,-21.0,757
99,-21.0,760
100,-21.0,760
101,-21.0,756
102,-21.0,758
103,-21.0,758
104,-21.0,756
105,-21.0,755
106,-21.0,762
107,-21.0,756
108,-21.0,759
109,-21.0,761
110,-21.0,758
111,-21.0,759
112,-21.0,756
113,-21.0,760
114,-21.0,762
115,-21.0,760
116,-21.0,761
117,-21.0,759
118,-21.0,758
119,-21.0,761
120,-21.0,762
121,-21.0,760
122,-21.0,755
123,-21.0,761
124,-21.0,755
125,-21.0,758
126,-21.0,762
127,-21.0,758
128,-21.0,757
129,-21.0,759
130,-21.0,756
131,-21.0,761
132,-21.0,758
133,-21.0,762
134,-21.0,760
135,-21.0,759
136,-21.0,756
137,-21.0,760
138,-21.0,757
139,-21.0,755
140,-21.0,759
141,-21.0,760
142,-21.0,756
143,-21.0,760
144,-21.0,758
145,-21.0,755
146,-21.0,756
147,-21.0,761
148,-21.0,761
149,-21.0,755
150,-21.0,758
151,-21.0,761
152,-21.0,760
153,-21.0,762
154,-21.0,759
155,-21.0,755
156,-21.0,755
157,-21.0,756
158,-21.0,758
159,-21.0,758
160,-21.0,755
161,-21.0,759
162,-21.0,755
163,-21.0,756
164,-21.0,761
165,-21.0,757
166,-21.0,760
167,-21.0,757
168,-21.0,760
169,-21.0,758
170,-21.0,756
171,-21.0,762
172,-21.0,758
173,-21.0,761
174,-21.0,757
175,-21.0,759
176,-21.0,761
177,-21.0,759
178,-21.0,757
179,-21.0,756
180,-21.0,759
181,-21.0,758
182,-21.0,757
183,-21.0,761
184,-21.0,756
185,-21.0,756
186,-21.0,760
187,-21.0,757
188,-21.0,755
189,-21.0,761
190,-21.0,758
191,-21.0,760
192,-21.0,760
193,-21.0,760
194,-21.0,755
195,-21.0,755
196,-21.0,761
197,-21.0,756
198,-21.0,760
199,-21.0,760
200,-21.0,758
201,-21.0,755
202,-21.0,757
203,-21.0,760
204,-21.0,760
205,-21.0,758
206,-21.0,758
207,-21.0,758
208,-21.0,761
209,-21.0,756
