game,score,steps
1,17.0,2169
2,20.0,1840
3,20.0,1888
4,20.0,1882
5,17.0,2109
6,21.0,1712
7,20.0,1827
8,16.0,2290
9,18.0,1925
10,21.0,1712
11,21.0,1848
12,19.0,1858
13,20.0,1977
14,20.0,1843
15,19.0,1996
16,20.0,1924
17,20.0,1772
18,20.0,1846
19,20.0,1838
20,15.0,2344
21,19.0,1871
22,18.0,2013
23,19.0,2008
24,15.0,2287
25,19.0,1947
26,21.0,1713
27,16.0,2318
28,17.0,2120
29,19.0,1913
30,21.0,1665
31,17.0,2099
32,20.0,1847
33,20.0,2032
34,21.0,1713
35,19.0,1873
36,20.0,1847
37,20.0,1910
38,20.0,1841
39,13.0,2567
40,19.0,1981
41,21.0,1789
42,18.0,2078
43,19.0,1923
44,20.0,1773
45,19.0,2026
46,18.0,2132
47,17.0,2383
48,20.0,1902
49,15.0,2203
50,18.0,1928
51,15.0,2362
52,17.0,2232
53,18.0,1921
54,19.0,1901
55,19.0,2044
56,20.0,1842
57,20.0,1896
58,21.0,1715
59,16.0,2239
60,20.0,1824
61,19.0,1922
62,18.0,1930
63,15.0,2194
64,19.0,2014
65,20.0,1826
66,19.0,1937
67,21.0,1710
68,20.0,1903
69,20.0,1885
70,20.0,1910
71,20.0,1836
72,20.0,1835
73,20.0,1930
74,19.0,1928
75,21.0,1837
76,19.0,2007
77,20.0,1829
78,19.0,1876
79,18.0,1968
80,16.0,2048
81,19.0,2008
82,20.0,1844
83,20.0,1866
84,18.0,1950
85,20.0,1915
86,19.0,1921
87,20.0,1810
88,20.0,1858
89,19.0,2079
90,20.0,1779
91,14.0,2046
92,13.0,2179
93,16.0,1977
94,16.0,2306
95,17.0,1947
96,19.0,1859
97,19.0,1933
98,20.0,1774
99,20.0,1772
100,18.0,1901
101,16.0,2422
102,19.0,2007
103,20.0,1771
104,20.0,1778
105,19.0,2009
106,18.0,2137
107,19.0,1892
108,16.0,2532
109,18.0,1882
110,11.0,2767
111,15.0,2242
112,20.0,1775
113,20.0,1987
114,19.0,2008
115,13.0,2404
116,21.0,1710
117,14.0,2331
118,21.0,1710
119,19.0,1999
120,20.0,1846
121,10.0,2637
122,19.0,2013
123,20.0,1844
124,13.0,2508
125,19.0,2004
126,15.0,2280
127,19.0,2069
128,21.0,1854
129,20.0,1774
130,20.0,1869
131,21.0,1710
132,13.0,2280
133,20.0,1842
134,19.0,2010
135,20.0,1780
136,19.0,2069
137,19.0,2060
138,19.0,2069
139,19.0,1941
140,11.0,2203
141,12.0,2586
142,20.0,1810
143,21.0,1711
144,20.0,1857
145,19.0,2084
146,18.0,2196
147,20.0,1883
148,21.0,1714
149,19.0,1981
150,16.0,1988
151,21.0,1731
152,9.0,2363
153,15.0,2204
154,20.0,1824
155,21.0,1712
156,18.0,1959
157,19.0,1963
158,20.0,1855
159,14.0,2396
160,12.0,2627
161,20.0,2087
162,18.0,2100
163,18.0,1980
164,20.0,1927
165,20.0,1893
166,18.0,2278
167,17.0,2323
168,18.0,2155
169,19.0,1840
170,20.0,1887
171,18.0,1933
172,20.0,1824
173,21.0,1712
174,18.0,1852
175,19.0,1983
176,20.0,1862
177,21.0,1710
178,20.0,1776
179,20.0,1790
180,19.0,2086
181,20.0,1773
182,19.0,1919
183,18.0,2018
184,20.0,1842
185,18.0,2089
186,19.0,1895
187,17.0,2105
188,19.0,2008
189,20.0,1856
190,19.0,1860
191,19.0,2127
192,20.0,1796
193,20.0,1845
194,20.0,1851
195,20.0,1810
196,21.0,1711
197,18.0,1852
198,18.0,2011
199,16.0,2683
200,15.0,2449
201,20.0,1887
202,18.0,1933
203,19.0,1920
204,20.0,1826
205,20.0,1822
206,20.0,1785
207,16.0,2479
208,20.0,1824
209,21.0,1851
210,20.0,1775
211,8.0,3060
212,19.0,2011
213,17.0,2321
214,19.0,1909
215,17.0,2159
216,17.0,2286
217,21.0,1706
218,21.0,1729
219,20.0,1870
220,21.0,1786
221,15.0,2146
222,17.0,2189
223,19.0,2203
224,14.0,2371
225,18.0,1909
226,19.0,1912
227,17.0,2325
228,17.0,1887
229,19.0,1860
230,20.0,1843
231,18.0,2069
232,21.0,1787
233,10.0,2475
234,20.0,1772
235,19.0,2087
236,18.0,2052
237,19.0,2000
238,20.0,1834
239,19.0,2088
240,21.0,1727
241,20.0,1736
242,17.0,2053
243,19.0,1930
244,11.0,2525
245,17.0,2061
246,18.0,1929
247,21.0,1717
248,19.0,1979
249,11.0,2691
250,9.0,2943
251,20.0,1785
252,21.0,1713
253,18.0,1984
254,18.0,2223
255,20.0,1853
256,21.0,1726
257,17.0,2395
258,19.0,1932
259,17.0,2310
260,16.0,2241
261,21.0,1716
262,19.0,1983
263,14.0,2476
264,20.0,1851
265,10.0,2191
266,12.0,2672
267,21.0,1713
268,18.0,2093
269,18.0,1900
270,21.0,1729
271,21.0,1773
272,16.0,2246
273,20.0,1823
274,18.0,2169
275,21.0,1711
276,20.0,1948
277,12.0,2453
278,19.0,1890
279,18.0,2213
280,15.0,2304
281,21.0,1715
282,20.0,1810
283,19.0,2148
284,20.0,1827
285,21.0,1714
286,19.0,1941
287,11.0,2731
288,20.0,1774
289,18.0,1910
290,17.0,2272
291,18.0,2014
292,21.0,1714
293,21.0,1709
294,18.0,2093
295,19.0,2013
296,5.0,3248
297,20.0,1824
298,19.0,2102
299,19.0,1861
300,19.0,1931
301,20.0,1823
302,16.0,2130
303,18.0,2188
304,21.0,1710
305,20.0,1841
306,20.0,1948
307,19.0,1981
308,20.0,1744
309,20.0,1847
310,17.0,1976
311,19.0,1918
312,17.0,2038
313,18.0,1939
314,21.0,1726
315,19.0,1771
316,17.0,2190
317,9.0,2464
318,15.0,2214
319,12.0,2823
320,16.0,2074
321,20.0,1827
322,19.0,2014
323,19.0,2143
324,19.0,1912
325,12.0,2450
326,18.0,2006
327,19.0,2149
328,20.0,1782
329,14.0,2578
330,18.0,1911
331,20.0,1828
332,19.0,1955
333,21.0,1852
334,17.0,1935
335,17.0,2071
336,15.0,2270
337,19.0,2013
338,18.0,2105
339,14.0,2430
340,15.0,2392
341,21.0,1716
342,20.0,1822
343,20.0,1826
344,10.0,3140
345,19.0,1978
346,10.0,3358
347,14.0,2415
348,19.0,1929
349,11.0,2302
350,19.0,1842
351,20.0,1823
352,11.0,2761
353,21.0,1837
354,20.0,1780
355,20.0,1744
356,20.0,1761
357,19.0,1982
358,21.0,1713
359,18.0,1929
360,17.0,2143
361,20.0,1843
362,20.0,1719
363,20.0,1933
364,20.0,1832
365,20.0,1783
366,14.0,2272
367,10.0,2448
368,19.0,1812
369,19.0,1981
370,20.0,1979
371,15.0,2280
372,19.0,1867
373,20.0,1847
374,15.0,2477
375,8.0,3123
376,15.0,2320
377,19.0,2082
378,20.0,1832
379,20.0,1774
380,19.0,1882
381,18.0,2300
382,20.0,1850
383,20.0,1760
384,20.0,1822
385,20.0,1862
386,19.0,1982
387,19.0,1840
388,21.0,1716
