game,score,steps
1,-13.0,1862
2,5.0,3309
3,-12.0,2111
4,10.0,3027
5,6.0,3273
6,6.0,3675
7,-12.0,2017
8,9.0,3142
9,3.0,3640
10,10.0,3047
11,9.0,3508
12,11.0,3452
13,3.0,3271
14,8.0,3444
15,5.0,3429
16,10.0,3401
17,-9.0,2211
18,12.0,2977
19,4.0,3322
20,11.0,3246
21,13.0,3353
22,12.0,3039
23,-16.0,1809
24,-7.0,2643
25,-9.0,2210
26,9.0,3627
27,-9.0,2526
28,12.0,2991
29,7.0,3976
30,-16.0,1691
31,5.0,3380
32,13.0,3193
33,12.0,2981
34,-4.0,3356
35,-9.0,2633
36,10.0,3138
37,12.0,3012
38,15.0,3080
39,5.0,3434
40,-5.0,3014
41,-16.0,1506
42,13.0,3204
43,12.0,3022
44,-16.0,1782
45,10.0,3285
46,13.0,3000
47,12.0,2843
48,10.0,3623
49,4.0,3585
50,-1.0,3755
51,-16.0,1781
52,9.0,3128
53,6.0,3682
54,10.0,3141
55,2.0,3680
56,8.0,3091
57,12.0,2983
58,14.0,3128
59,1.0,3518
60,13.0,3291
61,15.0,3198
62,11.0,3179
63,-13.0,1982
64,7.0,3666
65,13.0,3294
66,8.0,3720
67,-11.0,2304
68,12.0,2978
69,12.0,3082
70,-16.0,1752
71,-7.0,2934
72,6.0,3076
73,6.0,3673
74,6.0,3321
75,8.0,3463
76,-7.0,3002
77,-12.0,2152
78,6.0,3433
79,-9.0,2968
80,6.0,3056
81,12.0,3073
82,8.0,3218
83,11.0,3454
84,10.0,3064
85,-14.0,1880
86,12.0,2907
87,10.0,3402
88,12.0,2884
89,6.0,3885
90,13.0,3414
91,10.0,3030
92,10.0,3402
93,7.0,3300
94,13.0,3289
95,-9.0,2945
96,-1.0,3429
97,6.0,3218
98,15.0,3240
99,8.0,3390
100,-1.0,3368
101,8.0,3355
102,13.0,3048
103,1.0,4048
104,10.0,3102
105,8.0,3187
106,7.0,3347
107,6.0,3276
108,9.0,3256
109,-16.0,1751
110,4.0,3334
111,-1.0,3995
112,11.0,3369
113,8.0,3965
114,7.0,3302
115,5.0,3488
116,-9.0,2204
117,13.0,3294
118,5.0,3341
119,-16.0,1586
120,4.0,3412
121,5.0,3346
122,10.0,3265
123,6.0,3685
124,6.0,3273
125,13.0,3212
126,9.0,3114
127,15.0,3005
128,12.0,2894
129,8.0,3625
130,10.0,3282
131,-16.0,1754
132,-9.0,2257
133,14.0,2928
134,-12.0,2164
135,12.0,2987
136,-1.0,4250
137,-17.0,1658
138,13.0,3329
139,8.0,3341
140,10.0,3350
141,-3.0,3052
142,5.0,3757
143,11.0,3409
144,9.0,3099
145,13.0,3424
146,-16.0,1776
147,11.0,2993
148,-14.0,1806
149,8.0,3012
150,-9.0,2211
151,-9.0,2209
152,15.0,3233
153,-1.0,3922
154,6.0,3276
155,1.0,3540
156,6.0,3304
157,12.0,2997
158,-16.0,1632
159,14.0,2985
160,8.0,3045
161,9.0,3283
162,-13.0,1989
163,10.0,3031
164,-16.0,1509
165,10.0,3194
166,-3.0,3207
167,12.0,2880
168,8.0,2970
169,13.0,3116
170,-16.0,1644
171,3.0,3258
172,12.0,3280
173,4.0,3430
174,13.0,3157
175,-9.0,2236
176,5.0,3290
177,4.0,3496
178,6.0,3688
179,-6.0,3072
180,5.0,3474
181,9.0,3378
182,12.0,2977
183,-12.0,2225
184,6.0,3290
185,13.0,3320
186,10.0,3588
187,-14.0,2106
188,12.0,2977
189,8.0,3513
190,6.0,3275
191,-12.0,1997
192,12.0,2979
193,5.0,3373
194,-16.0,1656
195,11.0,3124
196,9.0,3060
197,6.0,3734
198,13.0,3296
199,12.0,2983
200,-7.0,2657
201,10.0,2991
202,-14.0,1951
203,12.0,2991
204,-12.0,2409
205,5.0,3541
206,8.0,3214
207,9.0,3515
208,12.0,2968
209,5.0,3432
210,8.0,3594
211,-12.0,2055
212,11.0,3322
213,5.0,3172
214,-9.0,2210
215,12.0,3518
216,5.0,3292
217,-1.0,3800
218,1.0,3441
219,4.0,3503
220,-9.0,2207
221,5.0,3311
222,11.0,3267
223,13.0,3294
224,-14.0,1953
225,-13.0,1846
