game,score,steps
1,18.0,2182
2,17.0,2043
3,21.0,2285
4,19.0,1634
5,21.0,1967
6,14.0,2536
7,21.0,1967
8,17.0,2054
9,21.0,1735
10,13.0,2241
11,18.0,2037
12,21.0,1696
13,21.0,1696
14,19.0,1934
15,21.0,1694
16,21.0,1964
17,19.0,2426
18,21.0,1951
19,17.0,2076
20,21.0,1690
21,21.0,1737
22,21.0,1817
23,21.0,1691
24,19.0,1632
25,19.0,1980
26,21.0,1733
27,18.0,2103
28,21.0,1736
29,21.0,1877
30,17.0,2023
31,21.0,1738
32,21.0,1970
33,14.0,2438
34,20.0,1860
35,19.0,2044
36,17.0,1962
37,18.0,2398
38,21.0,1732
39,19.0,1770
40,21.0,1964
41,21.0,2290
42,21.0,2291
43,21.0,1690
44,17.0,2103
45,21.0,1968
46,21.0,2288
47,21.0,1732
48,21.0,1735
49,18.0,2426
50,20.0,1830
51,7.0,2575
52,21.0,1738
53,21.0,2286
54,20.0,1829
55,21.0,1964
56,21.0,1695
57,21.0,2290
58,19.0,2034
59,21.0,1736
60,8.0,2262
61,21.0,1968
62,21.0,2286
63,21.0,1737
64,21.0,1970
65,20.0,1785
66,19.0,1998
67,21.0,2285
68,19.0,1979
69,21.0,1732
70,21.0,1738
71,21.0,1692
72,19.0,2022
73,19.0,2020
74,19.0,2016
75,18.0,1922
76,14.0,2536
77,17.0,2107
78,21.0,2286
79,18.0,2427
80,19.0,2023
81,18.0,1868
82,14.0,2005
83,17.0,2349
84,21.0,1947
85,13.0,2277
86,17.0,1996
87,17.0,2093
88,21.0,2209
89,21.0,1967
90,21.0,1968
91,21.0,1967
92,21.0,1964
93,21.0,1968
94,21.0,1695
95,19.0,2053
96,21.0,1967
97,21.0,1739
98,15.0,2379
99,17.0,2098
100,17.0,2101
101,21.0,1693
102,17.0,2336
103,21.0,1950
104,19.0,2050
105,21.0,1739
106,14.0,2026
107,19.0,1775
108,17.0,2058
109,17.0,1982
110,21.0,1968
111,8.0,2347
112,21.0,1691
113,21.0,1953
114,21.0,1694
115,19.0,2016
116,15.0,2583
117,17.0,2080
118,21.0,1963
119,17.0,2236
120,18.0,1882
121,17.0,2153
122,17.0,2085
123,13.0,2224
124,19.0,2021
125,21.0,1965
126,21.0,1839
127,21.0,1695
128,21.0,1966
129,21.0,2285
130,21.0,1972
131,16.0,2068
132,16.0,2285
133,17.0,2101
134,18.0,2121
135,21.0,2286
136,21.0,1735
137,17.0,2038
138,17.0,2429
139,15.0,2403
140,20.0,1834
141,19.0,2005
142,21.0,1732
143,18.0,2403
144,21.0,1695
145,21.0,1738
146,21.0,1695
147,15.0,2538
148,21.0,2286
149,19.0,1975
150,21.0,1964
151,20.0,1830
152,18.0,1965
153,18.0,2050
154,21.0,1968
155,21.0,1874
156,16.0,2089
157,21.0,1963
158,18.0,2042
159,21.0,1693
160,17.0,1889
161,15.0,2309
162,21.0,1696
163,19.0,2049
164,20.0,1832
165,16.0,2432
166,14.0,2622
167,17.0,2043
168,21.0,1737
169,15.0,2116
170,16.0,2556
171,21.0,1736
172,21.0,1736
173,21.0,1737
174,21.0,1734
175,21.0,1732
176,18.0,2108
177,21.0,2285
178,-1.0,2690
179,21.0,2290
180,21.0,1735
181,18.0,2085
182,21.0,2286
183,19.0,2019
184,21.0,1969
185,19.0,2048
186,18.0,1879
187,21.0,1969
188,21.0,1695
189,16.0,1997
190,17.0,2027
191,17.0,2071
192,21.0,2285
193,21.0,1964
194,21.0,2289
195,21.0,1692
196,21.0,1696
197,14.0,2423
198,21.0,2213
199,21.0,1736
200,21.0,1953
201,21.0,1734
202,21.0,1970
203,20.0,1789
204,16.0,2081
205,20.0,2041
206,12.0,2674
207,21.0,1965
208,21.0,1947
209,21.0,1735
210,21.0,1965
211,21.0,2287
212,21.0,1963
213,21.0,1968
214,21.0,1692
215,21.0,1737
216,15.0,2157
217,21.0,2029
218,19.0,2352
219,9.0,2782
220,21.0,1964
221,21.0,1734
222,17.0,2430
223,21.0,1964
224,20.0,1828
225,21.0,1693
226,17.0,2138
227,21.0,1964
228,16.0,2392
229,9.0,2178
230,21.0,1692
231,11.0,2375
232,21.0,1967
233,21.0,1949
234,21.0,2288
235,20.0,1829
236,19.0,2191
237,11.0,2839
238,17.0,2195
239,21.0,1734
240,21.0,1967
241,21.0,2287
242,19.0,2022
243,20.0,1817
244,20.0,1895
245,21.0,1968
246,16.0,2139
247,21.0,1964
248,18.0,2119
249,12.0,2709
250,21.0,2289
251,13.0,2250
252,21.0,1692
253,17.0,2402
254,18.0,2239
255,18.0,2320
256,17.0,2078
257,17.0,2061
258,21.0,2287
259,21.0,1693
260,21.0,1739
261,18.0,2017
262,21.0,1691
263,21.0,2285
264,21.0,2211
265,21.0,1970
266,21.0,1694
267,13.0,2272
268,17.0,2315
269,21.0,1693
270,21.0,1693
271,21.0,1734
272,15.0,2243
273,21.0,1692
274,21.0,1964
275,21.0,1967
276,21.0,1952
277,21.0,1736
278,21.0,1969
279,21.0,1696
280,19.0,2022
281,21.0,1964
282,21.0,1738
283,8.0,2309
284,21.0,1739
285,8.0,2284
286,21.0,1965
287,21.0,1952
288,21.0,2092
289,8.0,2247
290,19.0,2112
291,18.0,2039
292,21.0,1693
293,14.0,2772
294,17.0,2245
295,21.0,2289
296,21.0,1964
297,19.0,1855
298,19.0,2308
299,18.0,2435
300,11.0,2340
301,21.0,2288
302,18.0,2051
303,21.0,1691
304,16.0,2065
305,19.0,2140
306,18.0,2013
307,17.0,2048
308,10.0,2375
309,20.0,1834
310,21.0,1953
311,21.0,1735
312,21.0,1969
313,21.0,1732
314,21.0,2288
315,18.0,2130
316,14.0,2048
317,21.0,1964
318,13.0,2010
319,20.0,1783
320,21.0,1734
321,21.0,1964
322,19.0,2016
323,21.0,1737
324,21.0,1695
325,21.0,1738
326,21.0,1732
327,12.0,2770
328,17.0,2070
329,15.0,2411
330,21.0,1695
331,17.0,2102
332,18.0,2435
333,19.0,2018
334,21.0,2290
335,21.0,2286
336,21.0,2285
337,17.0,2107
338,17.0,2155
339,21.0,1691
340,18.0,2401
341,21.0,1738
342,11.0,2460
343,3.0,2621
344,21.0,2286
345,21.0,2291
346,20.0,1833
347,21.0,1691
348,18.0,1877
349,16.0,1926
350,17.0,2111
351,21.0,2291
352,19.0,2046
353,21.0,2288
354,21.0,2288
355,21.0,1693
356,17.0,2103
357,21.0,2241
358,17.0,2046
359,21.0,1694
360,21.0,1965
361,14.0,2702
362,15.0,2282
363,16.0,2161
364,21.0,2285
365,21.0,1690
366,20.0,1845
367,21.0,2288
368,17.0,2106
369,10.0,2580
370,19.0,2038
371,17.0,2276
372,21.0,1963
373,7.0,2495
374,21.0,1690
375,21.0,1963
376,18.0,2050
377,17.0,2115
378,21.0,2286
379,21.0,1692
380,18.0,2101
381,18.0,2434
382,21.0,2285
383,21.0,1696
384,21.0,1963
385,21.0,1738
386,18.0,2113
387,21.0,1694
388,16.0,2181
389,15.0,1951
390,21.0,1829
391,11.0,2415
392,21.0,1692
393,17.0,2035
394,21.0,1965
395,20.0,1827
396,21.0,1690
397,15.0,2115
398,19.0,2109
399,21.0,1693
400,19.0,2311
401,21.0,1696
402,17.0,1983
403,21.0,2031
404,21.0,1737
405,9.0,2432
406,18.0,2435
407,21.0,1690
408,18.0,2429
409,21.0,1734
410,14.0,2033
411,21.0,1970
412,15.0,2749
413,21.0,2286
414,13.0,2442
415,21.0,1691
416,17.0,2045
417,18.0,2428
418,14.0,2290
419,19.0,2338
420,21.0,1691
421,19.0,2045
422,21.0,1737
423,21.0,1963
424,17.0,2085
425,19.0,1645
426,21.0,1963
427,17.0,2101
428,21.0,1969
429,21.0,1733
430,17.0,2481
431,11.0,2507
432,19.0,2031
433,17.0,2029
434,21.0,1695
435,21.0,1970
436,21.0,1736
437,17.0,2463
438,21.0,1969
439,21.0,2288
440,21.0,1692
441,9.0,2913
442,21.0,1965
443,21.0,1736
444,21.0,1736
445,21.0,1967
446,18.0,2220
447,19.0,2019
448,21.0,1695
449,21.0,2094
450,17.0,1986
451,21.0,1969
452,21.0,1735
453,21.0,1695
454,21.0,2286
455,21.0,1694
456,21.0,1695
457,18.0,2053
458,21.0,1964
459,19.0,2383
460,21.0,1970
461,16.0,2398
462,21.0,1691
463,21.0,1690
464,21.0,1695
465,17.0,2100
466,21.0,1965
467,21.0,1738
468,17.0,2120
469,20.0,2010
470,19.0,2343
471,15.0,2355
472,15.0,2616
473,17.0,2029
474,20.0,1788
475,21.0,1690
476,15.0,2147
477,17.0,2416
478,21.0,2290
479,21.0,1690
480,21.0,2286
481,21.0,1738
482,16.0,2192
483,17.0,2103
484,18.0,2014
485,18.0,2254
486,21.0,1696
487,15.0,2412
488,21.0,2286
489,15.0,2285
490,21.0,1696
491,21.0,1695
492,21.0,2151
