game,player 1 score,player 2 score,steps,total score
1,120.0,240.0,790,360.0
2,100.0,110.0,641,210.0
3,60.0,100.0,476,160.0
4,165.0,200.0,744,365.0
5,145.0,260.0,844,405.0
6,135.0,235.0,696,370.0
7,155.0,185.0,683,340.0
8,80.0,265.0,740,345.0
9,210.0,230.0,882,440.0
10,60.0,145.0,486,205.0
11,105.0,185.0,565,290.0
12,105.0,105.0,628,210.0
13,120.0,220.0,795,340.0
14,110.0,165.0,555,275.0
15,185.0,395.0,917,580.0
16,105.0,135.0,482,240.0
17,55.0,160.0,609,215.0
18,135.0,155.0,584,290.0
19,80.0,105.0,519,185.0
20,125.0,170.0,764,295.0
21,150.0,170.0,772,320.0
22,145.0,210.0,651,355.0
23,150.0,155.0,872,305.0
24,105.0,150.0,610,255.0
25,85.0,150.0,648,235.0
26,170.0,95.0,701,265.0
27,180.0,195.0,723,375.0
28,60.0,60.0,487,120.0
29,60.0,100.0,475,160.0
30,60.0,145.0,481,205.0
31,110.0,140.0,609,250.0
32,110.0,195.0,688,305.0
33,150.0,145.0,638,295.0
34,135.0,180.0,838,315.0
35,105.0,180.0,475,285.0
36,165.0,210.0,802,375.0
37,80.0,175.0,569,255.0
38,75.0,125.0,631,200.0
39,15.0,30.0,367,45.0
40,135.0,185.0,623,320.0
41,105.0,235.0,539,340.0
42,110.0,210.0,634,320.0
43,105.0,105.0,612,210.0
44,105.0,90.0,523,195.0
45,275.0,220.0,893,495.0
46,60.0,135.0,625,195.0
47,60.0,120.0,488,180.0
48,105.0,160.0,564,265.0
49,135.0,150.0,685,285.0
50,70.0,215.0,799,285.0
51,140.0,260.0,719,400.0
52,220.0,290.0,891,510.0
53,80.0,35.0,406,115.0
54,75.0,105.0,535,180.0
55,105.0,30.0,357,135.0
56,50.0,60.0,529,110.0
57,195.0,305.0,1008,500.0
58,110.0,210.0,606,320.0
59,85.0,230.0,814,315.0
60,50.0,35.0,365,85.0
61,50.0,155.0,695,205.0
62,15.0,90.0,557,105.0
63,15.0,80.0,467,95.0
64,15.0,65.0,367,80.0
65,60.0,145.0,485,205.0
66,80.0,145.0,559,225.0
67,65.0,180.0,566,245.0
68,90.0,10.0,366,100.0
69,135.0,160.0,680,295.0
70,75.0,170.0,606,245.0
71,55.0,35.0,358,90.0
72,225.0,315.0,997,540.0
73,65.0,195.0,595,260.0
74,200.0,155.0,727,355.0
75,90.0,150.0,615,240.0
76,110.0,170.0,700,280.0
77,230.0,345.0,774,575.0
78,165.0,230.0,814,395.0
79,60.0,145.0,486,205.0
80,50.0,200.0,627,250.0
81,145.0,195.0,643,340.0
82,75.0,155.0,488,230.0
83,210.0,285.0,762,495.0
84,105.0,75.0,438,180.0
85,110.0,265.0,716,375.0
86,105.0,80.0,383,185.0
87,155.0,170.0,710,325.0
88,105.0,145.0,560,250.0
89,60.0,100.0,482,160.0
90,95.0,190.0,567,285.0
91,105.0,100.0,450,205.0
92,220.0,200.0,745,420.0
93,60.0,155.0,636,215.0
94,105.0,140.0,707,245.0
95,105.0,115.0,449,220.0
96,75.0,135.0,658,210.0
97,120.0,155.0,581,275.0
98,120.0,155.0,556,275.0
99,185.0,210.0,860,395.0
100,290.0,230.0,688,520.0
101,15.0,55.0,332,70.0
102,140.0,185.0,829,325.0
103,125.0,210.0,710,335.0
104,135.0,230.0,819,365.0
105,60.0,145.0,487,205.0
106,230.0,255.0,949,485.0
107,135.0,225.0,625,360.0
108,120.0,260.0,781,380.0
109,140.0,210.0,611,350.0
110,80.0,95.0,628,175.0
111,205.0,285.0,758,490.0
112,60.0,145.0,485,205.0
113,75.0,165.0,683,240.0
114,80.0,160.0,571,240.0
115,100.0,260.0,709,360.0
116,330.0,245.0,1131,575.0
117,75.0,110.0,434,185.0
118,75.0,175.0,637,250.0
119,105.0,70.0,381,175.0
120,110.0,155.0,694,265.0
121,15.0,60.0,399,75.0
122,145.0,210.0,615,355.0
123,50.0,45.0,487,95.0
124,135.0,185.0,640,320.0
125,105.0,100.0,455,205.0
126,35.0,200.0,651,235.0
127,290.0,215.0,934,505.0
128,90.0,195.0,665,285.0
129,75.0,170.0,676,245.0
130,95.0,85.0,640,180.0
131,60.0,175.0,607,235.0
132,30.0,50.0,410,80.0
133,205.0,265.0,940,470.0
134,65.0,165.0,621,230.0
135,155.0,160.0,614,315.0
136,150.0,195.0,771,345.0
137,360.0,285.0,1156,645.0
138,160.0,205.0,628,365.0
139,250.0,250.0,955,500.0
140,105.0,165.0,503,270.0
141,220.0,325.0,948,545.0
142,80.0,145.0,462,225.0
143,135.0,240.0,812,375.0
144,105.0,90.0,586,195.0
145,105.0,30.0,357,135.0
146,105.0,195.0,621,300.0
