game,player 1 score,player 2 score,steps,total score
1,15.0,155.0,494,170.0
2,55.0,155.0,566,210.0
3,160.0,180.0,796,340.0
4,200.0,315.0,1023,515.0
5,185.0,440.0,1087,625.0
6,15.0,155.0,510,170.0
7,260.0,330.0,1026,590.0
8,70.0,305.0,839,375.0
9,325.0,290.0,1012,615.0
10,65.0,180.0,617,245.0
11,355.0,175.0,1136,530.0
12,150.0,210.0,777,360.0
13,160.0,280.0,765,440.0
14,155.0,240.0,644,395.0
15,55.0,255.0,582,310.0
16,235.0,185.0,714,420.0
17,10.0,145.0,460,155.0
18,255.0,350.0,1065,605.0
19,120.0,140.0,539,260.0
20,75.0,180.0,630,255.0
21,20.0,105.0,326,125.0
22,30.0,110.0,477,140.0
23,35.0,65.0,392,100.0
24,35.0,135.0,495,170.0
25,80.0,140.0,673,220.0
26,315.0,225.0,1004,540.0
27,180.0,270.0,838,450.0
28,245.0,245.0,1031,490.0
29,50.0,190.0,595,240.0
30,270.0,230.0,826,500.0
31,165.0,285.0,817,450.0
32,225.0,205.0,847,430.0
33,400.0,300.0,1149,700.0
34,240.0,310.0,709,550.0
35,185.0,315.0,856,500.0
36,100.0,375.0,805,475.0
37,50.0,190.0,592,240.0
38,250.0,240.0,983,490.0
39,55.0,180.0,629,235.0
40,35.0,185.0,550,220.0
41,10.0,165.0,469,175.0
42,105.0,135.0,653,240.0
43,315.0,330.0,976,645.0
44,20.0,95.0,460,115.0
45,40.0,215.0,616,255.0
46,90.0,160.0,677,250.0
47,105.0,280.0,672,385.0
48,140.0,255.0,790,395.0
49,115.0,230.0,715,345.0
50,80.0,210.0,646,290.0
51,140.0,235.0,737,375.0
52,155.0,345.0,858,500.0
53,75.0,165.0,511,240.0
54,160.0,255.0,709,415.0
55,75.0,230.0,580,305.0
56,125.0,245.0,852,370.0
57,50.0,240.0,679,290.0
58,25.0,155.0,478,180.0
59,60.0,225.0,536,285.0
60,145.0,280.0,901,425.0
61,305.0,270.0,891,575.0
62,240.0,325.0,867,565.0
63,30.0,105.0,375,135.0
64,90.0,220.0,784,310.0
65,60.0,105.0,393,165.0
66,35.0,225.0,601,260.0
67,20.0,135.0,522,155.0
68,100.0,370.0,685,470.0
69,90.0,205.0,541,295.0
70,170.0,280.0,923,450.0
71,70.0,245.0,587,315.0
72,255.0,300.0,917,555.0
73,270.0,280.0,979,550.0
74,190.0,240.0,923,430.0
75,15.0,105.0,346,120.0
76,40.0,130.0,388,170.0
77,250.0,295.0,814,545.0
78,115.0,185.0,730,300.0
79,130.0,130.0,622,260.0
80,155.0,255.0,657,410.0
81,135.0,175.0,598,310.0
82,60.0,190.0,612,250.0
83,100.0,320.0,881,420.0
84,100.0,270.0,750,370.0
85,65.0,130.0,384,195.0
86,20.0,170.0,499,190.0
87,50.0,200.0,674,250.0
88,145.0,270.0,688,415.0
89,155.0,260.0,996,415.0
90,255.0,260.0,904,515.0
91,100.0,220.0,628,320.0
92,125.0,240.0,660,365.0
93,85.0,235.0,625,320.0
94,90.0,135.0,634,225.0
95,180.0,225.0,830,405.0
96,210.0,180.0,874,390.0
97,80.0,165.0,735,245.0
98,95.0,195.0,614,290.0
99,185.0,200.0,829,385.0
100,155.0,240.0,716,395.0
101,10.0,65.0,371,75.0
102,250.0,175.0,829,425.0
103,195.0,225.0,840,420.0
104,105.0,290.0,719,395.0
105,395.0,230.0,878,625.0
106,60.0,225.0,541,285.0
107,70.0,180.0,618,250.0
108,95.0,155.0,692,250.0
109,30.0,130.0,472,160.0
110,240.0,210.0,781,450.0
111,40.0,165.0,577,205.0
112,110.0,185.0,771,295.0
113,35.0,105.0,417,140.0
114,270.0,515.0,1110,785.0
115,190.0,290.0,960,480.0
116,140.0,285.0,714,425.0
117,345.0,275.0,1027,620.0
118,240.0,270.0,795,510.0
119,175.0,225.0,842,400.0
120,35.0,230.0,553,265.0
121,215.0,315.0,1210,530.0
122,105.0,190.0,692,295.0
123,210.0,380.0,958,590.0
124,290.0,440.0,1273,730.0
125,180.0,445.0,894,625.0
126,110.0,255.0,775,365.0
127,145.0,225.0,721,370.0
128,15.0,200.0,458,215.0
129,395.0,550.0,1658,945.0
130,165.0,220.0,610,385.0
131,120.0,200.0,715,320.0
132,245.0,330.0,830,575.0
133,130.0,105.0,587,235.0
134,15.0,105.0,345,120.0
135,125.0,185.0,671,310.0
136,60.0,200.0,568,260.0
137,95.0,165.0,550,260.0
138,50.0,190.0,591,240.0
139,45.0,125.0,520,170.0
140,335.0,365.0,1158,700.0
141,155.0,270.0,730,425.0
142,25.0,280.0,714,305.0
143,225.0,340.0,1029,565.0
144,40.0,170.0,435,210.0
145,45.0,180.0,619,225.0
146,110.0,375.0,906,485.0
147,65.0,220.0,700,285.0
148,40.0,135.0,457,175.0
149,370.0,330.0,1147,700.0
150,45.0,95.0,348,140.0
151,15.0,130.0,519,145.0
152,30.0,190.0,633,220.0
153,185.0,270.0,796,455.0
154,65.0,50.0,406,115.0
155,145.0,150.0,623,295.0
156,190.0,365.0,857,555.0
157,115.0,300.0,1091,415.0
158,85.0,230.0,602,315.0
159,35.0,55.0,375,90.0
160,35.0,105.0,361,140.0
161,125.0,210.0,750,335.0
162,130.0,165.0,672,295.0
163,215.0,360.0,928,575.0
164,100.0,210.0,671,310.0
165,225.0,245.0,772,470.0
166,225.0,160.0,874,385.0
167,115.0,180.0,693,295.0
168,80.0,335.0,800,415.0
169,105.0,210.0,612,315.0
170,200.0,180.0,814,380.0
171,270.0,210.0,908,480.0
172,220.0,210.0,818,430.0
173,80.0,210.0,787,290.0
174,45.0,225.0,583,270.0
175,75.0,135.0,603,210.0
176,165.0,250.0,887,415.0
177,40.0,190.0,575,230.0
178,145.0,280.0,742,425.0
179,185.0,200.0,623,385.0
180,215.0,370.0,1168,585.0
181,200.0,205.0,822,405.0
182,35.0,190.0,624,225.0
183,160.0,270.0,675,430.0
184,50.0,155.0,497,205.0
185,280.0,325.0,1011,605.0
186,190.0,365.0,990,555.0
187,95.0,400.0,1010,495.0
188,145.0,250.0,791,395.0
189,155.0,185.0,645,340.0
190,15.0,170.0,507,185.0
191,125.0,255.0,712,380.0
192,35.0,135.0,445,170.0
193,300.0,245.0,970,545.0
194,175.0,315.0,912,490.0
195,95.0,200.0,708,295.0
196,155.0,200.0,671,355.0
197,230.0,185.0,847,415.0
198,160.0,175.0,734,335.0
199,165.0,280.0,822,445.0
200,180.0,230.0,839,410.0
201,20.0,125.0,515,145.0
202,90.0,210.0,618,300.0
203,60.0,195.0,542,255.0
204,130.0,230.0,823,360.0
205,60.0,180.0,614,240.0
206,255.0,320.0,1281,575.0
207,175.0,315.0,1020,490.0
208,210.0,255.0,870,465.0
209,135.0,300.0,668,435.0
210,165.0,250.0,788,415.0
211,240.0,245.0,843,485.0
212,200.0,210.0,700,410.0
213,40.0,200.0,562,240.0
214,110.0,240.0,835,350.0
215,180.0,225.0,753,405.0
216,45.0,80.0,353,125.0
217,15.0,160.0,592,175.0
218,95.0,260.0,697,355.0
219,220.0,260.0,975,480.0
220,185.0,225.0,700,410.0
221,120.0,210.0,819,330.0
222,60.0,225.0,626,285.0
223,260.0,270.0,787,530.0
224,95.0,230.0,738,325.0
225,215.0,205.0,885,420.0
226,130.0,235.0,764,365.0
227,270.0,330.0,1162,600.0
228,190.0,310.0,815,500.0
229,185.0,270.0,628,455.0
230,290.0,310.0,954,600.0
231,130.0,175.0,657,305.0
232,65.0,265.0,707,330.0
233,270.0,285.0,918,555.0
234,315.0,260.0,909,575.0
235,235.0,310.0,1050,545.0
236,165.0,290.0,981,455.0
237,120.0,295.0,701,415.0
238,25.0,160.0,543,185.0
239,90.0,205.0,756,295.0
240,75.0,155.0,567,230.0
241,120.0,360.0,1196,480.0
242,155.0,440.0,935,595.0
243,15.0,205.0,574,220.0
244,60.0,180.0,593,240.0
245,180.0,300.0,732,480.0
246,120.0,225.0,801,345.0
247,5.0,105.0,371,110.0
248,325.0,320.0,992,645.0
249,145.0,235.0,735,380.0
250,170.0,305.0,806,475.0
251,95.0,195.0,666,290.0
252,115.0,135.0,571,250.0
253,220.0,315.0,1037,535.0
254,55.0,160.0,641,215.0
255,5.0,105.0,374,110.0
256,35.0,135.0,517,170.0
257,60.0,180.0,568,240.0
258,100.0,190.0,528,290.0
259,175.0,295.0,1047,470.0
260,95.0,330.0,992,425.0
261,20.0,170.0,479,190.0
262,210.0,470.0,1055,680.0
263,60.0,165.0,610,225.0
264,75.0,240.0,581,315.0
265,30.0,160.0,535,190.0
266,50.0,200.0,595,250.0
