game,player 1 score,player 2 score,steps,total score
1,320.0,250.0,848,570.0
2,160.0,210.0,540,370.0
3,320.0,370.0,1061,690.0
4,100.0,105.0,346,205.0
5,190.0,210.0,677,400.0
6,160.0,190.0,469,350.0
7,175.0,105.0,527,280.0
8,85.0,70.0,410,155.0
9,95.0,125.0,401,220.0
10,210.0,205.0,652,415.0
11,105.0,230.0,596,335.0
12,230.0,225.0,790,455.0
13,185.0,165.0,517,350.0
14,180.0,185.0,726,365.0
15,180.0,305.0,888,485.0
16,210.0,215.0,639,425.0
17,125.0,225.0,541,350.0
18,115.0,225.0,540,340.0
19,185.0,210.0,569,395.0
20,260.0,205.0,619,465.0
21,135.0,180.0,593,315.0
22,270.0,330.0,970,600.0
23,280.0,235.0,1034,515.0
24,160.0,180.0,525,340.0
25,265.0,285.0,730,550.0
26,145.0,95.0,529,240.0
27,160.0,220.0,554,380.0
28,140.0,145.0,520,285.0
29,145.0,265.0,666,410.0
30,105.0,110.0,353,215.0
31,315.0,290.0,929,605.0
32,150.0,130.0,497,280.0
33,155.0,305.0,831,460.0
34,160.0,185.0,485,345.0
35,235.0,180.0,764,415.0
36,190.0,200.0,610,390.0
37,200.0,260.0,713,460.0
38,130.0,155.0,468,285.0
39,280.0,370.0,981,650.0
40,135.0,165.0,506,300.0
41,80.0,110.0,341,190.0
42,105.0,230.0,705,335.0
43,220.0,220.0,720,440.0
44,150.0,185.0,517,335.0
45,195.0,205.0,608,400.0
46,170.0,295.0,670,465.0
47,185.0,300.0,898,485.0
48,105.0,155.0,469,260.0
49,120.0,110.0,432,230.0
50,210.0,235.0,575,445.0
51,115.0,190.0,490,305.0
52,185.0,110.0,604,295.0
53,155.0,155.0,605,310.0
54,80.0,35.0,350,115.0
55,135.0,135.0,438,270.0
56,90.0,175.0,438,265.0
57,165.0,185.0,681,350.0
58,155.0,215.0,588,370.0
59,260.0,285.0,927,545.0
60,185.0,205.0,664,390.0
61,180.0,135.0,569,315.0
62,110.0,160.0,515,270.0
63,160.0,245.0,583,405.0
64,130.0,180.0,750,310.0
65,140.0,150.0,498,290.0
66,45.0,65.0,442,110.0
67,125.0,245.0,592,370.0
68,170.0,405.0,879,575.0
