game,player 1 score,player 2 score,steps,total score
1,225.0,275.0,878,500.0
2,290.0,285.0,715,575.0
3,135.0,260.0,646,395.0
4,170.0,135.0,526,305.0
5,270.0,425.0,1029,695.0
6,265.0,235.0,953,500.0
7,250.0,220.0,691,470.0
8,185.0,150.0,715,335.0
9,290.0,320.0,972,610.0
10,225.0,210.0,612,435.0
11,335.0,240.0,844,575.0
12,225.0,125.0,640,350.0
13,165.0,230.0,729,395.0
14,120.0,185.0,501,305.0
15,260.0,285.0,953,545.0
16,180.0,230.0,596,410.0
17,210.0,205.0,608,415.0
18,180.0,145.0,528,325.0
19,190.0,150.0,519,340.0
20,90.0,200.0,475,290.0
21,65.0,65.0,391,130.0
22,265.0,240.0,729,505.0
23,175.0,160.0,618,335.0
24,150.0,110.0,556,260.0
25,210.0,285.0,707,495.0
26,185.0,105.0,525,290.0
27,325.0,110.0,784,435.0
28,240.0,105.0,699,345.0
29,110.0,260.0,739,370.0
30,260.0,185.0,713,445.0
31,190.0,170.0,574,360.0
32,315.0,285.0,825,600.0
33,315.0,255.0,896,570.0
34,500.0,245.0,1074,745.0
35,285.0,315.0,843,600.0
36,210.0,160.0,541,370.0
37,315.0,295.0,995,610.0
38,65.0,80.0,424,145.0
39,175.0,210.0,633,385.0
40,175.0,170.0,659,345.0
41,355.0,275.0,1098,630.0
42,345.0,230.0,721,575.0
43,320.0,385.0,909,705.0
44,230.0,195.0,594,425.0
45,215.0,260.0,754,475.0
46,210.0,195.0,700,405.0
47,260.0,185.0,588,445.0
48,145.0,135.0,478,280.0
49,435.0,225.0,1090,660.0
50,195.0,195.0,672,390.0
51,65.0,180.0,406,245.0
52,190.0,150.0,528,340.0
53,205.0,150.0,531,355.0
54,435.0,240.0,903,675.0
55,400.0,205.0,934,605.0
56,230.0,350.0,728,580.0
57,80.0,85.0,485,165.0
58,480.0,325.0,1060,805.0
59,185.0,205.0,672,390.0
60,205.0,265.0,719,470.0
61,270.0,245.0,852,515.0
62,195.0,245.0,592,440.0
63,340.0,260.0,1012,600.0
64,185.0,105.0,640,290.0
65,260.0,205.0,1014,465.0
66,115.0,175.0,588,290.0
67,250.0,225.0,766,475.0
68,300.0,245.0,734,545.0
69,215.0,120.0,631,335.0
