game,player 1 score,player 2 score,steps,total score
1,225.0,210.0,1198,435.0
2,335.0,370.0,1475,705.0
3,155.0,230.0,913,385.0
4,235.0,155.0,1002,390.0
5,115.0,125.0,721,240.0
6,205.0,190.0,1053,395.0
7,160.0,215.0,1060,375.0
8,195.0,180.0,959,375.0
9,115.0,120.0,713,235.0
10,140.0,285.0,818,425.0
11,75.0,125.0,613,200.0
12,210.0,285.0,982,495.0
13,130.0,290.0,796,420.0
14,250.0,165.0,951,415.0
15,65.0,365.0,927,430.0
16,125.0,90.0,673,215.0
17,135.0,85.0,658,220.0
18,105.0,110.0,668,215.0
19,200.0,250.0,655,450.0
20,280.0,275.0,976,555.0
21,105.0,110.0,663,215.0
22,55.0,125.0,703,180.0
23,245.0,105.0,990,350.0
24,345.0,235.0,1178,580.0
25,65.0,90.0,623,155.0
26,50.0,130.0,684,180.0
27,150.0,125.0,774,275.0
28,210.0,190.0,741,400.0
29,265.0,100.0,864,365.0
30,405.0,295.0,1334,700.0
31,125.0,125.0,721,250.0
32,225.0,310.0,1131,535.0
33,295.0,225.0,1097,520.0
34,150.0,185.0,1165,335.0
35,125.0,125.0,725,250.0
36,80.0,135.0,673,215.0
37,115.0,140.0,692,255.0
38,475.0,270.0,1275,745.0
39,55.0,135.0,652,190.0
40,130.0,110.0,720,240.0
41,140.0,260.0,920,400.0
42,125.0,125.0,730,250.0
43,275.0,155.0,1057,430.0
44,185.0,235.0,1084,420.0
45,270.0,260.0,1018,530.0
46,115.0,110.0,777,225.0
47,135.0,135.0,751,270.0
48,135.0,175.0,804,310.0
49,55.0,110.0,781,165.0
50,130.0,125.0,768,255.0
51,250.0,235.0,802,485.0
52,75.0,35.0,383,110.0
53,85.0,165.0,869,250.0
54,165.0,155.0,1017,320.0
55,170.0,335.0,962,505.0
56,125.0,125.0,722,250.0
57,320.0,335.0,1285,655.0
58,165.0,340.0,878,505.0
59,185.0,155.0,923,340.0
60,90.0,110.0,681,200.0
61,110.0,210.0,816,320.0
62,110.0,205.0,890,315.0
63,120.0,185.0,907,305.0
64,215.0,180.0,828,395.0
65,275.0,210.0,802,485.0
66,90.0,160.0,776,250.0
67,105.0,140.0,732,245.0
68,175.0,180.0,894,355.0
69,210.0,90.0,727,300.0
70,105.0,125.0,659,230.0
71,390.0,550.0,1609,940.0
72,120.0,110.0,641,230.0
73,315.0,245.0,1069,560.0
74,145.0,270.0,677,415.0
75,140.0,265.0,964,405.0
76,185.0,110.0,784,295.0
77,210.0,105.0,707,315.0
78,65.0,135.0,644,200.0
79,105.0,120.0,666,225.0
80,65.0,135.0,624,200.0
81,260.0,160.0,996,420.0
82,120.0,180.0,953,300.0
83,255.0,225.0,1008,480.0
84,135.0,120.0,678,255.0
85,210.0,400.0,1424,610.0
86,140.0,90.0,716,230.0
87,130.0,135.0,709,265.0
88,110.0,125.0,702,235.0
89,180.0,155.0,975,335.0
90,80.0,135.0,669,215.0
91,80.0,120.0,659,200.0
92,260.0,155.0,1006,415.0
93,260.0,215.0,941,475.0
94,105.0,110.0,749,215.0
95,105.0,110.0,753,215.0
96,120.0,160.0,830,280.0
97,125.0,125.0,731,250.0
98,180.0,115.0,661,295.0
99,300.0,305.0,1088,605.0
100,245.0,555.0,1604,800.0
101,50.0,50.0,379,100.0
102,125.0,120.0,676,245.0
103,100.0,110.0,647,210.0
104,85.0,125.0,672,210.0
105,170.0,160.0,766,330.0
106,50.0,50.0,388,100.0
107,105.0,125.0,660,230.0
108,210.0,385.0,1166,595.0
109,80.0,140.0,675,220.0
110,220.0,240.0,898,460.0
111,140.0,155.0,901,295.0
112,210.0,160.0,948,370.0
113,130.0,180.0,611,310.0
114,105.0,150.0,685,255.0
115,250.0,360.0,1300,610.0
116,295.0,210.0,994,505.0
117,75.0,135.0,727,210.0
118,165.0,195.0,893,360.0
119,105.0,155.0,640,260.0
120,165.0,125.0,738,290.0
121,65.0,130.0,717,195.0
122,100.0,185.0,722,285.0
123,280.0,320.0,1033,600.0
124,200.0,200.0,848,400.0
125,145.0,290.0,941,435.0
126,325.0,305.0,1044,630.0
127,230.0,255.0,940,485.0
128,90.0,120.0,633,210.0
129,205.0,95.0,768,300.0
130,250.0,220.0,800,470.0
131,155.0,110.0,722,265.0
132,170.0,105.0,665,275.0
133,160.0,95.0,736,255.0
134,125.0,160.0,644,285.0
135,135.0,225.0,951,360.0
136,260.0,435.0,1328,695.0
137,110.0,110.0,742,220.0
138,200.0,205.0,806,405.0
139,150.0,155.0,693,305.0
140,290.0,255.0,1050,545.0
141,75.0,35.0,391,110.0
142,130.0,110.0,755,240.0
143,195.0,280.0,1183,475.0
144,240.0,220.0,1071,460.0
145,175.0,180.0,1139,355.0
146,45.0,125.0,622,170.0
147,170.0,145.0,759,315.0
148,305.0,175.0,942,480.0
149,105.0,140.0,626,245.0
150,105.0,125.0,675,230.0
151,120.0,195.0,915,315.0
152,170.0,125.0,828,295.0
153,105.0,155.0,763,260.0
154,90.0,110.0,863,200.0
155,80.0,120.0,688,200.0
156,105.0,120.0,796,225.0
157,280.0,320.0,924,600.0
158,110.0,125.0,637,235.0
159,125.0,125.0,718,250.0
160,195.0,190.0,926,385.0
161,225.0,245.0,961,470.0
162,105.0,110.0,665,215.0
163,200.0,95.0,661,295.0
164,115.0,315.0,769,430.0
165,115.0,220.0,749,335.0
166,170.0,135.0,956,305.0
167,95.0,220.0,848,315.0
168,335.0,320.0,1385,655.0
169,130.0,230.0,927,360.0
170,205.0,125.0,1082,330.0
171,180.0,155.0,890,335.0
172,135.0,180.0,838,315.0
173,75.0,75.0,384,150.0
174,155.0,325.0,998,480.0
175,135.0,170.0,737,305.0
176,235.0,115.0,928,350.0
177,155.0,260.0,800,415.0
178,150.0,215.0,917,365.0
179,110.0,135.0,623,245.0
180,85.0,145.0,823,230.0
181,105.0,365.0,1065,470.0
182,180.0,215.0,942,395.0
183,115.0,110.0,768,225.0
184,85.0,180.0,889,265.0
185,105.0,140.0,631,245.0
186,210.0,225.0,899,435.0
187,430.0,355.0,1871,785.0
188,165.0,125.0,811,290.0
189,110.0,110.0,626,220.0
190,150.0,250.0,934,400.0
191,235.0,260.0,1104,495.0
192,300.0,280.0,1051,580.0
193,370.0,315.0,1335,685.0
194,325.0,275.0,1117,600.0
195,85.0,135.0,632,220.0
196,240.0,120.0,862,360.0
197,90.0,105.0,615,195.0
198,125.0,110.0,805,235.0
199,165.0,135.0,956,300.0
200,245.0,250.0,900,495.0
201,160.0,145.0,850,305.0
202,225.0,150.0,779,375.0
203,115.0,120.0,727,235.0
204,150.0,250.0,1056,400.0
205,110.0,90.0,682,200.0
206,105.0,120.0,641,225.0
207,80.0,140.0,638,220.0
208,390.0,315.0,1171,705.0
209,290.0,220.0,1158,510.0
210,185.0,150.0,859,335.0
211,55.0,115.0,597,170.0
212,110.0,125.0,710,235.0
213,145.0,205.0,661,350.0
214,115.0,140.0,731,255.0
215,220.0,385.0,1339,605.0
216,150.0,150.0,846,300.0
217,85.0,130.0,691,215.0
218,110.0,185.0,792,295.0
219,110.0,90.0,679,200.0
220,180.0,135.0,816,315.0
221,235.0,245.0,1044,480.0
222,375.0,275.0,1023,650.0
223,225.0,240.0,1236,465.0
224,230.0,225.0,1026,455.0
225,35.0,155.0,622,190.0
226,240.0,155.0,1158,395.0
227,105.0,120.0,650,225.0
228,165.0,155.0,911,320.0
229,140.0,115.0,759,255.0
230,205.0,175.0,786,380.0
231,215.0,175.0,769,390.0
232,295.0,155.0,1002,450.0
233,75.0,155.0,634,230.0
234,65.0,140.0,649,205.0
235,115.0,125.0,716,240.0
236,195.0,95.0,663,290.0
237,120.0,165.0,731,285.0
238,425.0,295.0,1315,720.0
239,110.0,125.0,713,235.0
240,105.0,125.0,663,230.0
241,150.0,240.0,744,390.0
242,160.0,270.0,1060,430.0
243,105.0,160.0,785,265.0
244,105.0,110.0,665,215.0
245,180.0,210.0,988,390.0
246,140.0,110.0,825,250.0
247,80.0,150.0,688,230.0
248,135.0,225.0,893,360.0
249,135.0,150.0,893,285.0
250,375.0,225.0,1156,600.0
251,135.0,260.0,1084,395.0
252,180.0,255.0,742,435.0
253,280.0,215.0,1027,495.0
254,165.0,185.0,728,350.0
255,80.0,110.0,630,190.0
256,200.0,355.0,863,555.0
257,190.0,135.0,699,325.0
258,220.0,100.0,717,320.0
259,180.0,180.0,947,360.0
260,80.0,140.0,643,220.0
261,240.0,130.0,751,370.0
262,155.0,190.0,839,345.0
263,140.0,185.0,807,325.0
264,295.0,335.0,1445,630.0
265,235.0,360.0,1139,595.0
266,135.0,135.0,576,270.0
267,415.0,285.0,1446,700.0
268,365.0,465.0,1337,830.0
269,120.0,80.0,686,200.0
