game,player 1 score,player 2 score,steps,total score
1,55.0,80.0,342,135.0
2,345.0,285.0,1032,630.0
3,285.0,260.0,1077,545.0
4,80.0,105.0,413,185.0
5,55.0,80.0,342,135.0
6,435.0,250.0,1050,685.0
7,310.0,265.0,848,575.0
8,55.0,80.0,343,135.0
9,130.0,185.0,543,315.0
10,210.0,180.0,661,390.0
11,55.0,60.0,379,115.0
12,105.0,85.0,537,190.0
13,125.0,120.0,591,245.0
14,95.0,30.0,427,125.0
15,80.0,110.0,416,190.0
16,295.0,305.0,963,600.0
17,255.0,285.0,813,540.0
18,55.0,95.0,406,150.0
19,55.0,80.0,337,135.0
20,90.0,20.0,393,110.0
21,140.0,140.0,486,280.0
22,230.0,285.0,820,515.0
23,65.0,120.0,465,185.0
24,245.0,190.0,700,435.0
25,195.0,180.0,649,375.0
26,215.0,305.0,837,520.0
27,265.0,200.0,768,465.0
28,55.0,80.0,337,135.0
29,125.0,115.0,526,240.0
30,125.0,120.0,553,245.0
31,250.0,160.0,797,410.0
32,195.0,125.0,500,320.0
33,240.0,195.0,760,435.0
34,150.0,140.0,565,290.0
35,30.0,90.0,356,120.0
36,245.0,210.0,815,455.0
37,45.0,35.0,485,80.0
38,240.0,240.0,780,480.0
39,80.0,105.0,380,185.0
40,375.0,180.0,893,555.0
41,265.0,265.0,888,530.0
42,230.0,125.0,694,355.0
43,20.0,30.0,311,50.0
44,155.0,155.0,525,310.0
45,155.0,170.0,634,325.0
46,55.0,80.0,341,135.0
47,170.0,175.0,565,345.0
48,80.0,95.0,513,175.0
49,160.0,235.0,800,395.0
50,290.0,290.0,1144,580.0
51,150.0,135.0,533,285.0
52,230.0,310.0,764,540.0
53,285.0,315.0,993,600.0
54,55.0,80.0,343,135.0
55,250.0,305.0,970,555.0
56,165.0,165.0,552,330.0
57,255.0,230.0,784,485.0
58,150.0,140.0,607,290.0
59,215.0,175.0,735,390.0
60,225.0,220.0,702,445.0
61,185.0,175.0,719,360.0
62,205.0,220.0,583,425.0
63,255.0,240.0,770,495.0
64,90.0,80.0,399,170.0
65,345.0,195.0,891,540.0
66,50.0,80.0,371,130.0
67,165.0,60.0,472,225.0
68,255.0,180.0,659,435.0
69,340.0,260.0,1067,600.0
70,120.0,60.0,545,180.0
71,55.0,80.0,345,135.0
72,55.0,80.0,345,135.0
73,55.0,80.0,340,135.0
74,265.0,185.0,706,450.0
75,100.0,85.0,503,185.0
76,150.0,125.0,479,275.0
77,140.0,290.0,673,430.0
78,310.0,130.0,627,440.0
79,20.0,90.0,360,110.0
80,260.0,380.0,943,640.0
81,90.0,85.0,435,175.0
82,80.0,45.0,366,125.0
83,155.0,105.0,618,260.0
84,150.0,70.0,511,220.0
85,105.0,75.0,382,180.0
86,240.0,240.0,706,480.0
87,140.0,165.0,525,305.0
88,95.0,80.0,444,175.0
89,265.0,180.0,766,445.0
90,80.0,65.0,396,145.0
91,40.0,75.0,421,115.0
92,255.0,230.0,724,485.0
93,165.0,160.0,536,325.0
94,95.0,170.0,589,265.0
95,80.0,90.0,373,170.0
96,110.0,135.0,471,245.0
97,185.0,160.0,628,345.0
98,125.0,155.0,579,280.0
99,205.0,200.0,662,405.0
100,195.0,235.0,634,430.0
101,150.0,55.0,486,205.0
102,465.0,205.0,914,670.0
103,85.0,140.0,696,225.0
104,230.0,505.0,1205,735.0
105,210.0,140.0,597,350.0
106,55.0,80.0,343,135.0
107,225.0,220.0,805,445.0
108,230.0,195.0,761,425.0
109,195.0,265.0,688,460.0
110,305.0,270.0,857,575.0
111,105.0,130.0,448,235.0
112,310.0,140.0,719,450.0
113,55.0,80.0,344,135.0
114,80.0,140.0,479,220.0
115,325.0,95.0,726,420.0
116,155.0,125.0,493,280.0
117,230.0,370.0,976,600.0
118,410.0,190.0,980,600.0
119,245.0,215.0,739,460.0
120,200.0,195.0,531,395.0
121,55.0,80.0,339,135.0
122,295.0,340.0,1082,635.0
123,230.0,285.0,726,515.0
124,55.0,80.0,341,135.0
125,165.0,300.0,666,465.0
126,95.0,135.0,452,230.0
127,155.0,75.0,545,230.0
128,55.0,80.0,356,135.0
129,80.0,80.0,372,160.0
130,100.0,110.0,695,210.0
131,285.0,185.0,929,470.0
132,55.0,80.0,342,135.0
133,180.0,155.0,496,335.0
134,300.0,310.0,939,610.0
135,255.0,285.0,1016,540.0
136,280.0,300.0,843,580.0
137,65.0,80.0,436,145.0
138,200.0,130.0,633,330.0
139,120.0,235.0,659,355.0
140,210.0,200.0,744,410.0
141,225.0,245.0,839,470.0
142,125.0,155.0,562,280.0
143,200.0,295.0,917,495.0
144,335.0,245.0,816,580.0
145,80.0,115.0,507,195.0
146,125.0,120.0,551,245.0
147,280.0,270.0,873,550.0
148,240.0,250.0,704,490.0
149,65.0,55.0,379,120.0
150,255.0,215.0,834,470.0
151,125.0,140.0,571,265.0
152,145.0,125.0,498,270.0
153,100.0,140.0,475,240.0
154,195.0,190.0,671,385.0
155,115.0,60.0,434,175.0
156,290.0,255.0,813,545.0
157,55.0,80.0,338,135.0
158,205.0,210.0,719,415.0
159,55.0,80.0,340,135.0
160,200.0,345.0,806,545.0
161,150.0,230.0,767,380.0
162,55.0,80.0,337,135.0
163,135.0,205.0,639,340.0
164,240.0,260.0,810,500.0
165,290.0,285.0,918,575.0
166,395.0,270.0,1179,665.0
167,280.0,150.0,725,430.0
168,195.0,205.0,683,400.0
169,200.0,185.0,520,385.0
170,55.0,80.0,342,135.0
171,285.0,255.0,736,540.0
172,230.0,170.0,725,400.0
173,55.0,80.0,337,135.0
174,125.0,80.0,485,205.0
175,285.0,285.0,785,570.0
176,245.0,355.0,905,600.0
177,365.0,180.0,805,545.0
178,385.0,175.0,850,560.0
179,425.0,370.0,1300,795.0
180,235.0,230.0,761,465.0
181,110.0,45.0,449,155.0
182,175.0,130.0,588,305.0
183,110.0,50.0,527,160.0
184,260.0,115.0,682,375.0
185,255.0,185.0,608,440.0
186,225.0,210.0,768,435.0
187,210.0,95.0,557,305.0
188,405.0,325.0,1040,730.0
189,90.0,50.0,360,140.0
190,55.0,80.0,344,135.0
191,125.0,135.0,445,260.0
192,55.0,80.0,338,135.0
193,315.0,200.0,951,515.0
194,710.0,460.0,1553,1170.0
195,345.0,350.0,1106,695.0
196,415.0,240.0,807,655.0
197,115.0,230.0,556,345.0
198,385.0,245.0,850,630.0
199,205.0,170.0,653,375.0
200,55.0,80.0,432,135.0
201,270.0,380.0,876,650.0
202,255.0,200.0,714,455.0
203,55.0,80.0,337,135.0
204,130.0,115.0,460,245.0
205,255.0,235.0,850,490.0
206,35.0,105.0,357,140.0
207,55.0,60.0,369,115.0
208,210.0,180.0,680,390.0
209,180.0,260.0,637,440.0
210,270.0,335.0,868,605.0
211,160.0,135.0,661,295.0
212,55.0,80.0,338,135.0
213,260.0,155.0,642,415.0
214,375.0,200.0,1050,575.0
215,290.0,410.0,1074,700.0
216,165.0,205.0,628,370.0
217,120.0,35.0,420,155.0
218,135.0,155.0,497,290.0
219,75.0,225.0,682,300.0
220,235.0,170.0,677,405.0
221,165.0,125.0,516,290.0
222,180.0,230.0,721,410.0
223,125.0,85.0,501,210.0
224,185.0,155.0,525,340.0
225,155.0,120.0,493,275.0
226,235.0,180.0,664,415.0
227,155.0,180.0,551,335.0
228,55.0,80.0,345,135.0
229,135.0,110.0,493,245.0
230,395.0,205.0,942,600.0
231,240.0,365.0,947,605.0
232,55.0,80.0,337,135.0
233,55.0,80.0,340,135.0
234,255.0,345.0,892,600.0
235,130.0,130.0,585,260.0
236,260.0,345.0,852,605.0
237,140.0,110.0,540,250.0
238,320.0,225.0,867,545.0
239,250.0,215.0,591,465.0
240,185.0,195.0,786,380.0
241,90.0,30.0,364,120.0
242,315.0,290.0,990,605.0
243,200.0,160.0,655,360.0
244,195.0,185.0,704,380.0
245,190.0,230.0,727,420.0
246,70.0,140.0,473,210.0
247,280.0,320.0,995,600.0
248,90.0,70.0,462,160.0
249,285.0,270.0,829,555.0
250,55.0,80.0,344,135.0
251,130.0,210.0,629,340.0
252,190.0,130.0,678,320.0
253,405.0,230.0,930,635.0
254,55.0,80.0,340,135.0
255,230.0,230.0,597,460.0
256,215.0,175.0,551,390.0
257,360.0,260.0,852,620.0
258,5.0,0.0,299,5.0
259,105.0,40.0,448,145.0
260,180.0,250.0,702,430.0
261,170.0,230.0,673,400.0
262,155.0,485.0,1059,640.0
263,215.0,210.0,647,425.0
264,150.0,85.0,505,235.0
265,315.0,385.0,1168,700.0
266,120.0,55.0,471,175.0
267,55.0,80.0,343,135.0
268,185.0,245.0,704,430.0
269,330.0,195.0,753,525.0
270,55.0,80.0,378,135.0
271,140.0,260.0,587,400.0
272,215.0,285.0,774,500.0
273,135.0,135.0,524,270.0
274,90.0,90.0,368,180.0
275,55.0,60.0,340,115.0
276,135.0,220.0,656,355.0
277,140.0,190.0,638,330.0
278,230.0,120.0,663,350.0
279,235.0,290.0,905,525.0
280,55.0,40.0,437,95.0
281,140.0,105.0,540,245.0
282,120.0,120.0,508,240.0
283,385.0,230.0,964,615.0
284,35.0,30.0,323,65.0
285,100.0,115.0,458,215.0
286,365.0,210.0,855,575.0
287,185.0,315.0,772,500.0
288,305.0,220.0,673,525.0
289,95.0,95.0,502,190.0
290,260.0,225.0,1022,485.0
291,85.0,35.0,425,120.0
292,285.0,290.0,886,575.0
293,155.0,60.0,495,215.0
294,285.0,260.0,853,545.0
295,155.0,100.0,585,255.0
296,235.0,235.0,803,470.0
297,55.0,80.0,341,135.0
298,345.0,255.0,1000,600.0
299,55.0,80.0,344,135.0
300,295.0,315.0,822,610.0
301,195.0,245.0,692,440.0
302,160.0,260.0,617,420.0
303,220.0,265.0,861,485.0
304,245.0,395.0,887,640.0
305,200.0,205.0,667,405.0
306,55.0,80.0,341,135.0
307,175.0,305.0,825,480.0
308,295.0,210.0,931,505.0
309,270.0,360.0,1028,630.0
310,160.0,165.0,601,325.0
311,55.0,80.0,339,135.0
312,125.0,60.0,449,185.0
313,270.0,360.0,1126,630.0
314,80.0,80.0,378,160.0
315,255.0,315.0,850,570.0
316,80.0,80.0,363,160.0
317,260.0,255.0,847,515.0
318,185.0,90.0,492,275.0
319,285.0,315.0,1140,600.0
320,55.0,80.0,363,135.0
321,265.0,340.0,819,605.0
322,260.0,285.0,895,545.0
323,285.0,295.0,938,580.0
324,275.0,240.0,986,515.0
325,185.0,160.0,552,345.0
326,185.0,155.0,566,340.0
327,245.0,235.0,811,480.0
328,145.0,100.0,471,245.0
329,90.0,80.0,400,170.0
330,330.0,270.0,900,600.0
331,50.0,110.0,575,160.0
332,295.0,160.0,641,455.0
333,235.0,215.0,647,450.0
334,345.0,285.0,1020,630.0
335,70.0,105.0,464,175.0
336,135.0,75.0,448,210.0
337,55.0,80.0,360,135.0
338,65.0,95.0,489,160.0
339,260.0,315.0,831,575.0
340,200.0,160.0,515,360.0
