game,player 1 score,player 2 score,steps,total score
1,110.0,0.0,363,110.0
2,105.0,110.0,699,215.0
3,185.0,145.0,785,330.0
4,105.0,110.0,632,215.0
5,215.0,75.0,767,290.0
6,25.0,80.0,614,105.0
7,205.0,145.0,789,350.0
8,220.0,180.0,1033,400.0
9,135.0,165.0,752,300.0
10,105.0,140.0,648,245.0
11,235.0,225.0,946,460.0
12,120.0,140.0,764,260.0
13,80.0,0.0,364,80.0
14,105.0,40.0,386,145.0
15,60.0,50.0,351,110.0
16,105.0,35.0,384,140.0
17,180.0,145.0,671,325.0
18,105.0,160.0,657,265.0
19,85.0,240.0,867,325.0
20,105.0,5.0,394,110.0
21,170.0,300.0,1188,470.0
22,190.0,110.0,690,300.0
23,80.0,0.0,373,80.0
24,50.0,135.0,605,185.0
25,155.0,135.0,723,290.0
26,80.0,0.0,366,80.0
27,85.0,80.0,623,165.0
28,105.0,155.0,613,260.0
29,105.0,150.0,614,255.0
30,25.0,80.0,613,105.0
31,25.0,80.0,626,105.0
32,230.0,225.0,1062,455.0
33,80.0,0.0,365,80.0
34,60.0,90.0,612,150.0
35,80.0,0.0,366,80.0
36,235.0,170.0,921,405.0
37,45.0,60.0,481,105.0
38,25.0,70.0,615,95.0
39,80.0,0.0,373,80.0
40,80.0,0.0,368,80.0
41,105.0,0.0,379,105.0
42,105.0,30.0,365,135.0
43,25.0,80.0,607,105.0
44,205.0,225.0,888,430.0
45,80.0,0.0,367,80.0
46,80.0,5.0,350,85.0
47,80.0,0.0,366,80.0
48,80.0,0.0,370,80.0
49,85.0,95.0,635,180.0
50,255.0,145.0,1089,400.0
51,225.0,185.0,1275,410.0
52,105.0,220.0,616,325.0
53,80.0,0.0,365,80.0
54,85.0,155.0,691,240.0
55,185.0,145.0,788,330.0
56,75.0,135.0,633,210.0
57,120.0,155.0,811,275.0
58,95.0,110.0,647,205.0
59,105.0,20.0,516,125.0
60,170.0,150.0,778,320.0
61,80.0,0.0,371,80.0
62,55.0,115.0,629,170.0
63,110.0,125.0,662,235.0
64,75.0,100.0,597,175.0
