game,player 1 score,player 2 score,steps,total score
1,210.0,10.0,857,220.0
2,210.0,10.0,860,220.0
3,180.0,10.0,813,190.0
4,105.0,15.0,641,120.0
5,105.0,15.0,643,120.0
6,210.0,10.0,863,220.0
7,105.0,15.0,640,120.0
8,180.0,10.0,810,190.0
9,180.0,10.0,811,190.0
10,180.0,10.0,812,190.0
11,210.0,10.0,860,220.0
12,180.0,10.0,809,190.0
13,105.0,15.0,649,120.0
14,180.0,10.0,810,190.0
15,105.0,15.0,646,120.0
16,210.0,10.0,863,220.0
17,105.0,15.0,648,120.0
18,180.0,10.0,810,190.0
19,180.0,10.0,806,190.0
20,180.0,10.0,813,190.0
21,180.0,10.0,808,190.0
22,105.0,15.0,646,120.0
23,180.0,10.0,805,190.0
24,180.0,10.0,806,190.0
25,210.0,10.0,863,220.0
26,180.0,10.0,808,190.0
27,105.0,15.0,640,120.0
28,180.0,10.0,813,190.0
29,180.0,10.0,814,190.0
30,105.0,15.0,641,120.0
31,180.0,10.0,807,190.0
32,180.0,10.0,814,190.0
33,210.0,10.0,860,220.0
34,180.0,10.0,814,190.0
35,210.0,10.0,861,220.0
36,210.0,10.0,859,220.0
37,105.0,15.0,647,120.0
38,180.0,10.0,810,190.0
39,210.0,10.0,862,220.0
40,105.0,15.0,642,120.0
41,210.0,10.0,864,220.0
42,210.0,10.0,863,220.0
43,105.0,15.0,640,120.0
44,105.0,15.0,647,120.0
45,210.0,10.0,868,220.0
46,180.0,10.0,807,190.0
47,210.0,10.0,865,220.0
48,180.0,10.0,807,190.0
49,180.0,10.0,813,190.0
50,105.0,15.0,648,120.0
51,210.0,10.0,863,220.0
52,210.0,10.0,861,220.0
53,210.0,10.0,863,220.0
54,105.0,15.0,640,120.0
55,180.0,10.0,806,190.0
56,210.0,10.0,860,220.0
57,180.0,10.0,813,190.0
58,180.0,10.0,810,190.0
59,105.0,15.0,646,120.0
60,210.0,10.0,862,220.0
61,180.0,10.0,814,190.0
62,210.0,10.0,861,220.0
63,180.0,10.0,805,190.0
64,105.0,15.0,649,120.0
65,105.0,15.0,643,120.0
66,210.0,10.0,861,220.0
67,210.0,10.0,862,220.0
68,210.0,10.0,865,220.0
69,105.0,15.0,644,120.0
70,105.0,15.0,643,120.0
71,105.0,15.0,643,120.0
72,105.0,15.0,649,120.0
73,105.0,15.0,644,120.0
74,180.0,10.0,807,190.0
75,180.0,10.0,809,190.0
76,180.0,10.0,811,190.0
77,210.0,10.0,863,220.0
78,180.0,10.0,813,190.0
79,180.0,10.0,809,190.0
80,105.0,15.0,644,120.0
81,180.0,10.0,809,190.0
82,210.0,10.0,863,220.0
83,180.0,10.0,814,190.0
84,180.0,10.0,807,190.0
85,210.0,10.0,859,220.0
86,210.0,10.0,862,220.0
87,180.0,10.0,810,190.0
88,210.0,10.0,865,220.0
89,210.0,10.0,860,220.0
90,210.0,10.0,859,220.0
91,105.0,15.0,649,120.0
92,210.0,10.0,860,220.0
93,210.0,10.0,863,220.0
94,105.0,15.0,643,120.0
95,105.0,15.0,648,120.0
96,105.0,15.0,647,120.0
97,180.0,10.0,809,190.0
98,210.0,10.0,859,220.0
99,105.0,15.0,647,120.0
100,105.0,15.0,645,120.0
101,180.0,10.0,809,190.0
102,210.0,10.0,868,220.0
103,105.0,15.0,642,120.0
104,210.0,10.0,860,220.0
105,105.0,15.0,645,120.0
106,210.0,10.0,867,220.0
107,105.0,15.0,647,120.0
108,105.0,15.0,643,120.0
109,180.0,10.0,810,190.0
110,105.0,15.0,640,120.0
111,105.0,15.0,644,120.0
112,180.0,10.0,805,190.0
113,210.0,10.0,865,220.0
114,105.0,15.0,640,120.0
115,210.0,10.0,868,220.0
116,210.0,10.0,865,220.0
117,105.0,15.0,643,120.0
118,105.0,15.0,642,120.0
119,210.0,10.0,860,220.0
120,105.0,15.0,646,120.0
121,210.0,10.0,865,220.0
122,180.0,10.0,808,190.0
123,210.0,10.0,866,220.0
124,105.0,15.0,641,120.0
125,210.0,10.0,859,220.0
126,105.0,15.0,648,120.0
127,105.0,15.0,643,120.0
128,210.0,10.0,866,220.0
129,210.0,10.0,859,220.0
130,105.0,15.0,645,120.0
131,210.0,10.0,866,220.0
132,180.0,10.0,814,190.0
133,180.0,10.0,806,190.0
134,105.0,15.0,648,120.0
135,105.0,15.0,641,120.0
136,105.0,15.0,641,120.0
137,210.0,10.0,865,220.0
138,180.0,10.0,805,190.0
139,180.0,10.0,806,190.0
140,210.0,10.0,868,220.0
141,210.0,10.0,866,220.0
142,180.0,10.0,807,190.0
143,180.0,10.0,814,190.0
144,105.0,15.0,645,120.0
145,105.0,15.0,643,120.0
146,105.0,15.0,643,120.0
