game,player 1 score,player 2 score,steps,total score
1,120.0,115.0,667,235.0
2,110.0,45.0,580,155.0
3,155.0,135.0,762,290.0
4,315.0,325.0,1070,640.0
5,110.0,55.0,611,165.0
6,110.0,60.0,543,170.0
7,185.0,195.0,838,380.0
8,210.0,135.0,853,345.0
9,125.0,120.0,715,245.0
10,165.0,60.0,645,225.0
11,110.0,50.0,617,160.0
12,310.0,240.0,924,550.0
13,180.0,140.0,730,320.0
14,110.0,35.0,588,145.0
15,135.0,180.0,673,315.0
16,270.0,205.0,754,475.0
17,245.0,230.0,1065,475.0
18,165.0,235.0,860,400.0
19,340.0,180.0,1116,520.0
20,400.0,230.0,1051,630.0
21,90.0,195.0,776,285.0
22,155.0,145.0,735,300.0
23,135.0,65.0,696,200.0
24,120.0,110.0,717,230.0
25,130.0,165.0,834,295.0
26,215.0,135.0,770,350.0
27,245.0,200.0,996,445.0
28,235.0,140.0,826,375.0
29,80.0,120.0,625,200.0
30,65.0,80.0,359,145.0
31,285.0,230.0,1061,515.0
32,215.0,305.0,895,520.0
33,135.0,150.0,914,285.0
34,180.0,100.0,768,280.0
35,140.0,25.0,743,165.0
36,160.0,160.0,695,320.0
37,180.0,225.0,912,405.0
38,135.0,150.0,695,285.0
39,120.0,35.0,518,155.0
40,165.0,90.0,648,255.0
41,110.0,220.0,727,330.0
42,255.0,310.0,1010,565.0
43,125.0,125.0,740,250.0
44,210.0,195.0,1245,405.0
45,185.0,135.0,840,320.0
46,80.0,65.0,468,145.0
47,185.0,315.0,813,500.0
48,195.0,245.0,953,440.0
49,90.0,80.0,607,170.0
50,370.0,330.0,1263,700.0
51,170.0,160.0,808,330.0
52,135.0,145.0,847,280.0
53,240.0,360.0,975,600.0
54,230.0,170.0,731,400.0
55,295.0,285.0,881,580.0
56,125.0,235.0,748,360.0
57,150.0,195.0,1083,345.0
58,135.0,135.0,859,270.0
59,110.0,70.0,505,180.0
60,140.0,10.0,550,150.0
61,315.0,285.0,1004,600.0
62,190.0,155.0,830,345.0
63,290.0,230.0,1224,520.0
64,160.0,75.0,789,235.0
65,120.0,75.0,613,195.0
66,110.0,55.0,615,165.0
67,210.0,235.0,811,445.0
68,155.0,110.0,825,265.0
69,110.0,65.0,523,175.0
70,225.0,230.0,755,455.0
71,110.0,65.0,634,175.0
72,165.0,140.0,723,305.0
73,110.0,80.0,526,190.0
74,80.0,10.0,409,90.0
75,105.0,95.0,551,200.0
76,210.0,275.0,973,485.0
77,80.0,155.0,557,235.0
78,55.0,115.0,616,170.0
79,80.0,25.0,492,105.0
80,190.0,110.0,728,300.0
81,105.0,125.0,663,230.0
82,135.0,125.0,653,260.0
83,175.0,115.0,816,290.0
84,95.0,135.0,745,230.0
85,145.0,130.0,686,275.0
86,50.0,65.0,378,115.0
87,490.0,230.0,1301,720.0
88,110.0,35.0,517,145.0
89,185.0,150.0,764,335.0
90,175.0,130.0,768,305.0
91,230.0,230.0,825,460.0
