game,score,steps
1,255.0,1088
2,290.0,936
3,475.0,1036
4,180.0,740
5,110.0,560
6,345.0,1094
7,170.0,650
8,120.0,952
9,225.0,1059
10,135.0,893
11,265.0,1009
12,340.0,1105
13,190.0,680
14,235.0,747
15,270.0,1071
16,340.0,1002
17,165.0,664
18,110.0,561
19,200.0,868
20,160.0,904
21,180.0,691
22,155.0,528
23,275.0,874
24,385.0,1264
25,50.0,670
26,185.0,604
27,195.0,677
28,405.0,1253
29,280.0,941
30,270.0,694
31,90.0,561
32,250.0,954
33,285.0,1098
34,255.0,1181
35,230.0,1063
36,395.0,987
37,65.0,492
38,150.0,546
39,110.0,526
40,185.0,913
41,260.0,1235
42,275.0,791
43,220.0,856
44,170.0,671
45,675.0,1094
46,215.0,732
47,235.0,752
48,215.0,686
49,555.0,915
50,180.0,927
51,135.0,971
52,65.0,464
53,295.0,1370
54,540.0,1227
55,70.0,521
56,370.0,990
57,230.0,847
58,120.0,526
59,55.0,523
60,125.0,786
61,255.0,835
62,100.0,560
63,110.0,440
64,345.0,946
65,380.0,801
66,130.0,526
67,185.0,909
68,165.0,896
69,205.0,1011
70,300.0,897
71,195.0,716
72,100.0,528
73,425.0,985
74,195.0,665
75,110.0,510
76,215.0,822
77,435.0,1321
78,215.0,830
79,195.0,804
80,245.0,884
81,545.0,1035
82,230.0,945
83,280.0,724
84,195.0,899
85,110.0,610
86,145.0,537
87,225.0,960
88,235.0,643
89,220.0,858
90,225.0,1005
91,245.0,824
92,345.0,905
93,345.0,946
94,245.0,831
95,165.0,650
96,55.0,604
97,290.0,1065
98,240.0,891
99,195.0,708
100,170.0,712
101,200.0,693
102,365.0,1185
103,220.0,857
104,295.0,957
105,145.0,513
106,625.0,1452
107,140.0,889
108,425.0,1138
109,220.0,863
110,135.0,888
111,165.0,658
112,150.0,658
113,80.0,749
114,150.0,901
115,210.0,702
116,285.0,1190
117,265.0,855
118,340.0,804
119,275.0,896
120,420.0,1006
121,245.0,1038
122,600.0,1270
123,275.0,1062
124,300.0,878
125,270.0,1016
126,125.0,661
127,245.0,930
128,345.0,1032
129,270.0,910
130,340.0,1067
131,170.0,843
132,155.0,801
133,295.0,948
134,170.0,1084
135,850.0,1112
136,325.0,978
137,85.0,603
138,215.0,1026
139,210.0,677
140,185.0,912
141,280.0,945
142,455.0,949
143,55.0,518
144,285.0,1143
145,280.0,849
146,140.0,724
147,275.0,787
148,310.0,732
149,255.0,1130
150,285.0,1001
151,185.0,718
152,415.0,1269
153,135.0,580
154,355.0,1388
155,195.0,723
156,255.0,808
157,80.0,429
158,305.0,1222
159,325.0,1152
160,510.0,955
161,245.0,761
162,220.0,853
163,145.0,604
164,200.0,833
165,240.0,1180
166,200.0,1196
167,315.0,821
168,205.0,851
169,130.0,648
170,365.0,1138
171,230.0,955
172,195.0,637
173,400.0,1384
174,125.0,658
175,150.0,655
176,125.0,656
177,395.0,880
178,200.0,798
179,180.0,864
180,80.0,465
181,275.0,1190
182,220.0,856
183,140.0,741
184,255.0,1097
185,200.0,1190
186,110.0,571
187,230.0,1060
188,340.0,1106
189,265.0,923
190,85.0,496
191,80.0,521
192,225.0,1048
193,180.0,668
194,420.0,875
195,215.0,734
196,315.0,920
197,235.0,1101
198,275.0,950
199,240.0,1064
200,160.0,736
201,190.0,684
202,190.0,905
203,205.0,759
204,260.0,1132
205,115.0,678
206,315.0,853
207,70.0,396
208,230.0,1042
209,195.0,1039
210,470.0,946
211,165.0,847
212,290.0,959
213,615.0,1199
214,300.0,909
215,220.0,1064
216,345.0,1017
217,165.0,563
218,35.0,578
219,430.0,1002
220,140.0,516
221,215.0,1115
222,455.0,1239
223,230.0,1199
224,235.0,1057
225,160.0,882
226,500.0,745
227,310.0,810
228,540.0,1204
229,110.0,654
230,115.0,552
231,405.0,1254
232,270.0,908
233,275.0,991
234,200.0,977
235,205.0,996
236,70.0,528
237,100.0,523
238,185.0,968
239,205.0,693
240,205.0,901
241,195.0,803
242,210.0,860
243,110.0,504
244,220.0,854
245,300.0,723
246,235.0,883
247,370.0,1127
248,240.0,914
249,80.0,373
250,155.0,935
251,410.0,1289
252,230.0,935
253,225.0,905
254,190.0,628
255,395.0,1124
256,295.0,839
257,130.0,598
258,335.0,1013
259,310.0,931
260,295.0,908
261,260.0,1032
262,605.0,1109
263,155.0,641
264,285.0,1167
265,205.0,931
266,55.0,520
267,220.0,844
268,65.0,382
269,195.0,702
270,230.0,853
271,365.0,883
272,170.0,658
273,100.0,495
274,220.0,860
275,155.0,659
276,240.0,998
277,180.0,735
278,140.0,739
279,700.0,1139
280,245.0,688
281,160.0,888
282,400.0,1401
283,140.0,652
284,210.0,797
285,220.0,860
286,185.0,858
287,130.0,701
288,265.0,1031
289,140.0,693
290,125.0,715
291,70.0,564
292,325.0,1151
293,70.0,515
294,120.0,525
295,220.0,757
296,400.0,1062
297,145.0,911
298,205.0,704
299,95.0,582
300,165.0,538
301,275.0,889
302,230.0,898
303,245.0,957
304,125.0,536
305,105.0,744
306,500.0,1065
307,90.0,564
308,95.0,554
309,180.0,928
310,420.0,1102
311,215.0,881
312,135.0,886
313,340.0,917
314,485.0,1070
315,220.0,858
316,225.0,693
317,240.0,841
318,160.0,954
319,285.0,851
320,140.0,515
321,305.0,934
322,455.0,1350
323,220.0,859
324,510.0,1110
325,495.0,967
326,325.0,1162
327,160.0,650
328,340.0,1175
329,410.0,1020
330,375.0,1323
331,370.0,1061
332,70.0,484
333,270.0,1047
334,150.0,899
335,520.0,1093
336,185.0,823
337,470.0,940
338,130.0,656
339,335.0,852
340,320.0,1135
341,325.0,1272
342,460.0,1226
343,125.0,706
344,265.0,1297
345,220.0,878
346,70.0,519
347,225.0,700
348,250.0,843
349,30.0,468
350,135.0,818
351,395.0,895
352,195.0,701
353,230.0,757
354,265.0,871
355,130.0,674
356,175.0,623
357,75.0,565
358,45.0,529
359,360.0,1061
360,190.0,769
361,75.0,648
362,155.0,841
363,245.0,1058
364,150.0,945
365,420.0,1279
366,420.0,908
367,295.0,985
368,195.0,689
369,260.0,754
370,290.0,913
371,195.0,906
372,505.0,882
373,490.0,965
374,185.0,940
375,145.0,859
376,160.0,568
377,120.0,614
378,330.0,973
379,290.0,914
380,260.0,901
381,140.0,649
382,375.0,821
383,340.0,970
384,155.0,930
385,295.0,1117
386,210.0,660
387,565.0,1519
388,275.0,1205
389,90.0,404
390,325.0,840
391,240.0,1005
392,285.0,973
393,410.0,977
394,260.0,703
395,95.0,610
396,150.0,497
397,135.0,680
398,260.0,855
399,195.0,905
400,290.0,856
401,225.0,659
402,135.0,599
403,180.0,680
404,235.0,961
405,280.0,897
406,145.0,876
407,100.0,697
408,220.0,873
409,110.0,666
410,380.0,1324
411,230.0,762
412,495.0,1264
413,405.0,949
414,280.0,1259
415,455.0,1579
416,200.0,725
417,165.0,836
418,155.0,668
419,300.0,1194
420,205.0,931
421,220.0,863
422,85.0,699
423,315.0,937
424,315.0,974
425,190.0,929
426,170.0,935
427,325.0,927
428,225.0,694
429,155.0,665
430,260.0,916
431,125.0,535
432,340.0,939
433,185.0,908
434,650.0,1106
435,355.0,1082
436,85.0,568
437,415.0,777
438,345.0,852
439,220.0,869
440,260.0,742
441,175.0,895
442,165.0,579
443,100.0,532
444,160.0,687
445,410.0,1116
446,425.0,970
447,55.0,523
448,20.0,474
449,340.0,1112
450,135.0,885
451,395.0,1139
452,420.0,865
453,215.0,790
454,420.0,1224
455,285.0,897
456,140.0,660
457,215.0,889
458,190.0,663
459,130.0,589
460,165.0,560
461,195.0,805
462,310.0,1090
463,160.0,606
464,380.0,1103
465,295.0,811
466,185.0,903
467,200.0,788
468,305.0,1210
469,140.0,908
470,195.0,638
471,370.0,816
472,475.0,1014
473,125.0,530
474,125.0,743
475,85.0,517
476,345.0,966
477,245.0,825
478,395.0,1198
479,205.0,698
480,160.0,652
481,255.0,994
482,275.0,1011
483,195.0,717
484,120.0,663
485,310.0,850
486,180.0,605
487,185.0,627
488,135.0,577
489,170.0,954
490,90.0,556
491,105.0,654
492,370.0,1013
493,370.0,931
494,195.0,706
495,170.0,653
496,205.0,667
497,290.0,911
498,245.0,888
499,210.0,935
500,120.0,485
501,135.0,699
502,245.0,827
503,165.0,878
504,65.0,480
505,80.0,510
506,240.0,1101
507,340.0,615
508,215.0,904
509,155.0,921
510,240.0,795
511,330.0,887
512,220.0,863
513,275.0,1061
514,340.0,1096
515,150.0,544
516,290.0,913
517,160.0,1100
518,275.0,1000
519,335.0,1032
520,175.0,645
521,325.0,1124
522,145.0,807
523,270.0,852
524,195.0,704
525,170.0,807
526,265.0,993
527,150.0,608
528,400.0,938
529,145.0,559
530,755.0,1286
531,80.0,537
532,70.0,667
533,270.0,1064
534,220.0,824
535,90.0,560
536,305.0,843
537,180.0,775
538,340.0,1030
539,365.0,1154
540,205.0,947
541,305.0,1165
542,185.0,946
543,270.0,1101
544,180.0,666
545,205.0,943
546,135.0,504
547,270.0,1017
548,110.0,645
549,325.0,906
550,265.0,850
551,395.0,875
552,255.0,1076
553,275.0,1128
554,35.0,540
555,180.0,844
556,195.0,791
557,330.0,1071
558,460.0,1040
559,505.0,1424
560,300.0,1086
561,450.0,1204
562,220.0,857
563,160.0,643
564,215.0,710
565,240.0,959
566,220.0,857
567,415.0,1150
568,385.0,1296
569,290.0,1308
570,215.0,989
571,145.0,662
572,235.0,719
573,240.0,841
574,195.0,663
575,125.0,534
576,335.0,1124
577,220.0,851
578,160.0,670
579,340.0,852
580,265.0,729
581,185.0,578
582,390.0,1207
583,220.0,857
584,280.0,1180
585,355.0,992
586,230.0,921
587,125.0,534
588,550.0,974
589,210.0,664
590,230.0,951
591,120.0,520
592,220.0,655
593,115.0,712
594,315.0,939
595,190.0,553
596,170.0,672
597,285.0,983
598,215.0,652
599,275.0,579
600,140.0,847
601,285.0,1108
602,165.0,770
603,225.0,820
604,415.0,1137
605,340.0,677
606,290.0,1163
607,260.0,728
608,280.0,965
609,130.0,566
610,140.0,694
611,55.0,489
612,125.0,649
613,270.0,819
614,355.0,1201
615,210.0,629
616,220.0,742
617,75.0,563
618,250.0,1122
619,170.0,579
620,165.0,813
621,220.0,856
