game,score,steps
1,65.0,427
2,425.0,1098
3,155.0,600
4,20.0,336
5,65.0,426
6,65.0,425
7,165.0,668
8,140.0,671
9,85.0,462
10,255.0,1031
11,125.0,699
12,20.0,342
13,215.0,790
14,85.0,453
15,295.0,956
16,20.0,337
17,175.0,648
18,155.0,619
19,205.0,654
20,20.0,334
21,405.0,915
22,65.0,460
23,20.0,337
24,95.0,518
25,245.0,748
26,75.0,524
27,90.0,496
28,20.0,342
29,80.0,482
30,20.0,342
31,205.0,652
32,205.0,651
33,105.0,622
34,80.0,380
35,190.0,746
36,65.0,771
37,120.0,504
38,20.0,343
39,20.0,338
40,195.0,770
41,150.0,692
42,95.0,512
43,270.0,865
44,325.0,960
45,65.0,405
46,275.0,833
47,125.0,635
48,480.0,1105
49,410.0,1304
50,55.0,444
51,185.0,938
52,80.0,664
53,200.0,735
54,175.0,661
55,205.0,648
56,245.0,795
57,35.0,325
58,130.0,488
59,340.0,1281
60,130.0,601
61,20.0,338
62,45.0,328
63,105.0,668
64,495.0,1128
65,660.0,1219
66,65.0,426
67,105.0,585
68,125.0,697
69,125.0,670
70,295.0,851
71,130.0,561
72,95.0,478
73,20.0,342
74,240.0,817
75,20.0,335
76,205.0,652
77,160.0,771
78,55.0,412
79,100.0,613
80,155.0,531
81,280.0,1117
82,340.0,1295
83,530.0,1000
84,435.0,1314
85,95.0,503
86,80.0,493
87,165.0,760
88,35.0,322
89,55.0,445
90,495.0,1084
91,20.0,341
92,85.0,455
93,110.0,615
94,95.0,667
95,355.0,781
96,20.0,335
97,170.0,823
98,65.0,425
99,185.0,643
100,65.0,423
101,20.0,337
102,515.0,1068
103,65.0,552
104,20.0,340
105,20.0,343
106,20.0,341
107,155.0,882
108,65.0,426
109,35.0,523
110,310.0,932
111,65.0,422
112,205.0,649
113,20.0,340
114,20.0,343
115,20.0,342
116,140.0,658
117,65.0,430
118,230.0,1283
119,85.0,455
120,85.0,457
121,525.0,996
122,65.0,424
123,105.0,888
124,115.0,643
125,5.0,495
126,20.0,339
127,160.0,730
128,20.0,341
129,260.0,699
130,45.0,609
131,460.0,914
132,125.0,478
133,65.0,498
134,130.0,652
135,20.0,343
136,65.0,657
137,170.0,1107
138,65.0,450
139,20.0,340
140,315.0,728
141,205.0,653
142,155.0,666
143,20.0,338
144,80.0,455
145,100.0,609
146,65.0,426
147,125.0,629
148,20.0,334
149,35.0,326
150,65.0,430
151,50.0,403
152,20.0,336
153,95.0,562
154,145.0,673
155,205.0,600
156,100.0,669
157,65.0,423
158,20.0,335
159,65.0,430
160,205.0,662
161,205.0,653
162,155.0,615
163,125.0,487
164,85.0,460
165,145.0,694
166,95.0,638
167,85.0,547
168,20.0,339
169,245.0,784
170,20.0,340
171,125.0,485
172,205.0,1111
173,30.0,335
174,90.0,490
175,475.0,1023
176,80.0,523
177,130.0,468
178,70.0,682
179,55.0,443
180,20.0,343
181,20.0,342
182,295.0,1148
183,155.0,630
184,90.0,510
185,20.0,339
186,65.0,430
187,205.0,654
188,20.0,341
189,215.0,651
190,20.0,340
191,110.0,686
192,70.0,343
193,80.0,471
194,190.0,906
195,65.0,446
196,20.0,341
197,65.0,427
198,180.0,829
199,235.0,1037
200,130.0,612
201,170.0,680
202,65.0,424
203,30.0,479
204,505.0,1027
205,230.0,993
206,130.0,688
207,205.0,655
208,20.0,342
209,35.0,328
210,50.0,534
211,175.0,672
212,190.0,633
213,480.0,1113
214,205.0,655
215,20.0,340
216,140.0,662
217,65.0,424
218,20.0,342
219,135.0,641
