game,player 1 score,player 2 score,steps,total score
1,240.0,0.0,982,240.0
2,110.0,0.0,732,110.0
3,75.0,0.0,608,75.0
4,280.0,0.0,1035,280.0
5,285.0,0.0,926,285.0
6,60.0,0.0,488,60.0
7,220.0,0.0,949,220.0
8,185.0,0.0,652,185.0
9,155.0,0.0,624,155.0
10,200.0,0.0,852,200.0
11,170.0,0.0,651,170.0
12,115.0,0.0,624,115.0
13,235.0,0.0,894,235.0
14,360.0,0.0,1058,360.0
15,190.0,0.0,945,190.0
16,185.0,0.0,660,185.0
17,110.0,0.0,653,110.0
18,140.0,0.0,890,140.0
19,120.0,0.0,691,120.0
20,145.0,0.0,735,145.0
21,315.0,0.0,995,315.0
22,205.0,0.0,974,205.0
23,155.0,0.0,611,155.0
24,140.0,0.0,757,140.0
25,200.0,0.0,845,200.0
26,140.0,0.0,668,140.0
27,330.0,0.0,1144,330.0
28,145.0,0.0,643,145.0
29,390.0,0.0,857,390.0
30,105.0,0.0,679,105.0
31,105.0,0.0,663,105.0
32,190.0,0.0,760,190.0
33,185.0,0.0,660,185.0
34,220.0,0.0,866,220.0
35,440.0,0.0,1271,440.0
36,375.0,0.0,1082,375.0
37,185.0,0.0,872,185.0
38,400.0,0.0,880,400.0
39,240.0,0.0,823,240.0
40,280.0,0.0,908,280.0
41,185.0,0.0,652,185.0
42,185.0,0.0,661,185.0
43,120.0,0.0,791,120.0
44,180.0,0.0,954,180.0
45,135.0,0.0,656,135.0
46,140.0,0.0,656,140.0
47,105.0,0.0,668,105.0
48,185.0,0.0,704,185.0
49,170.0,0.0,889,170.0
50,150.0,0.0,668,150.0
51,50.0,0.0,681,50.0
52,65.0,0.0,631,65.0
53,385.0,0.0,1014,385.0
54,210.0,0.0,878,210.0
55,190.0,0.0,891,190.0
56,150.0,0.0,634,150.0
57,200.0,0.0,845,200.0
58,220.0,0.0,962,220.0
59,305.0,0.0,1201,305.0
60,260.0,0.0,961,260.0
61,105.0,0.0,655,105.0
62,15.0,0.0,514,15.0
63,120.0,0.0,960,120.0
64,110.0,0.0,636,110.0
65,170.0,0.0,813,170.0
66,395.0,0.0,1273,395.0
67,90.0,0.0,613,90.0
68,235.0,0.0,880,235.0
69,165.0,0.0,853,165.0
70,85.0,0.0,635,85.0
71,245.0,0.0,911,245.0
72,260.0,0.0,1034,260.0
73,250.0,0.0,913,250.0
74,45.0,0.0,525,45.0
75,250.0,0.0,902,250.0
76,385.0,0.0,1191,385.0
77,275.0,0.0,1394,275.0
78,140.0,0.0,969,140.0
79,15.0,0.0,618,15.0
80,185.0,0.0,742,185.0
81,215.0,0.0,899,215.0
82,90.0,0.0,610,90.0
83,80.0,0.0,541,80.0
84,200.0,0.0,753,200.0
85,450.0,0.0,1170,450.0
86,105.0,0.0,681,105.0
87,165.0,0.0,949,165.0
88,140.0,0.0,660,140.0
89,150.0,0.0,846,150.0
90,315.0,0.0,1149,315.0
91,185.0,0.0,656,185.0
92,260.0,0.0,1024,260.0
93,310.0,0.0,948,310.0
94,110.0,0.0,657,110.0
95,185.0,0.0,975,185.0
96,150.0,0.0,660,150.0
97,345.0,0.0,1199,345.0
98,185.0,0.0,699,185.0
99,185.0,0.0,656,185.0
100,220.0,0.0,966,220.0
101,270.0,0.0,1034,270.0
102,105.0,0.0,672,105.0
103,55.0,0.0,615,55.0
104,180.0,0.0,830,180.0
105,105.0,0.0,658,105.0
106,40.0,0.0,624,40.0
107,205.0,0.0,989,205.0
108,105.0,0.0,703,105.0
109,305.0,0.0,1025,305.0
110,110.0,0.0,712,110.0
111,105.0,0.0,674,105.0
112,95.0,0.0,633,95.0
113,65.0,0.0,530,65.0
114,125.0,0.0,692,125.0
115,220.0,0.0,759,220.0
116,50.0,0.0,679,50.0
117,135.0,0.0,708,135.0
118,170.0,0.0,828,170.0
119,150.0,0.0,685,150.0
120,170.0,0.0,933,170.0
121,105.0,0.0,663,105.0
122,90.0,0.0,680,90.0
123,110.0,0.0,669,110.0
124,175.0,0.0,746,175.0
125,150.0,0.0,714,150.0
126,465.0,0.0,1394,465.0
127,170.0,0.0,658,170.0
128,195.0,0.0,1146,195.0
129,260.0,0.0,1051,260.0
130,240.0,0.0,963,240.0
131,35.0,0.0,613,35.0
132,165.0,0.0,790,165.0
133,115.0,0.0,1021,115.0
134,120.0,0.0,905,120.0
135,130.0,0.0,686,130.0
136,80.0,0.0,594,80.0
137,135.0,0.0,625,135.0
138,190.0,0.0,801,190.0
139,200.0,0.0,846,200.0
140,275.0,0.0,790,275.0
141,90.0,0.0,666,90.0
142,450.0,0.0,1322,450.0
143,145.0,0.0,684,145.0
144,140.0,0.0,831,140.0
145,200.0,0.0,844,200.0
146,375.0,0.0,1518,375.0
147,30.0,0.0,405,30.0
148,185.0,0.0,660,185.0
149,270.0,0.0,1150,270.0
150,415.0,0.0,1190,415.0
151,45.0,0.0,603,45.0
152,185.0,0.0,656,185.0
153,70.0,0.0,630,70.0
154,260.0,0.0,891,260.0
155,105.0,0.0,670,105.0
156,200.0,0.0,850,200.0
157,105.0,0.0,532,105.0
158,235.0,0.0,1089,235.0
159,310.0,0.0,1006,310.0
160,255.0,0.0,1048,255.0
161,190.0,0.0,816,190.0
162,270.0,0.0,1166,270.0
163,315.0,0.0,903,315.0
164,230.0,0.0,1042,230.0
165,155.0,0.0,823,155.0
166,200.0,0.0,846,200.0
167,70.0,0.0,902,70.0
168,185.0,0.0,658,185.0
169,200.0,0.0,846,200.0
170,315.0,0.0,961,315.0
171,120.0,0.0,699,120.0
172,115.0,0.0,685,115.0
173,165.0,0.0,694,165.0
174,175.0,0.0,810,175.0
175,170.0,0.0,651,170.0
176,120.0,0.0,646,120.0
177,265.0,0.0,1035,265.0
178,195.0,0.0,928,195.0
179,130.0,0.0,665,130.0
180,345.0,0.0,1037,345.0
181,45.0,0.0,511,45.0
182,195.0,0.0,710,195.0
183,110.0,0.0,711,110.0
184,185.0,0.0,700,185.0
185,235.0,0.0,804,235.0
186,100.0,0.0,648,100.0
187,200.0,0.0,845,200.0
188,235.0,0.0,1141,235.0
189,105.0,0.0,662,105.0
190,360.0,0.0,1070,360.0
191,50.0,0.0,555,50.0
192,300.0,0.0,1134,300.0
193,250.0,0.0,982,250.0
194,200.0,0.0,1010,200.0
195,185.0,0.0,762,185.0
196,175.0,0.0,1025,175.0
197,140.0,0.0,631,140.0
198,345.0,0.0,1122,345.0
199,170.0,0.0,673,170.0
200,35.0,0.0,602,35.0
201,185.0,0.0,653,185.0
202,300.0,0.0,1130,300.0
203,325.0,0.0,1172,325.0
204,110.0,0.0,629,110.0
205,130.0,0.0,1050,130.0
206,190.0,0.0,1124,190.0
207,110.0,0.0,623,110.0
208,320.0,0.0,1135,320.0
209,235.0,0.0,931,235.0
210,120.0,0.0,696,120.0
211,20.0,0.0,444,20.0
212,95.0,0.0,638,95.0
213,185.0,0.0,661,185.0
214,80.0,0.0,612,80.0
215,375.0,0.0,1393,375.0
216,150.0,0.0,658,150.0
217,200.0,0.0,851,200.0
218,120.0,0.0,697,120.0
219,250.0,0.0,977,250.0
220,215.0,0.0,873,215.0
221,215.0,0.0,828,215.0
222,285.0,0.0,958,285.0
223,340.0,0.0,1197,340.0
224,115.0,0.0,700,115.0
225,95.0,0.0,693,95.0
226,40.0,0.0,584,40.0
227,140.0,0.0,671,140.0
228,235.0,0.0,796,235.0
229,200.0,0.0,676,200.0
230,385.0,0.0,1183,385.0
231,180.0,0.0,807,180.0
232,185.0,0.0,656,185.0
233,265.0,0.0,909,265.0
234,160.0,0.0,846,160.0
235,225.0,0.0,1073,225.0
236,185.0,0.0,658,185.0
237,185.0,0.0,706,185.0
238,140.0,0.0,1064,140.0
239,100.0,0.0,585,100.0
240,200.0,0.0,1057,200.0
241,200.0,0.0,850,200.0
242,25.0,0.0,526,25.0
243,350.0,0.0,1086,350.0
244,205.0,0.0,809,205.0
245,155.0,0.0,861,155.0
246,200.0,0.0,798,200.0
247,85.0,0.0,661,85.0
248,300.0,0.0,979,300.0
249,120.0,0.0,480,120.0
250,365.0,0.0,868,365.0
251,200.0,0.0,847,200.0
252,115.0,0.0,660,115.0
253,190.0,0.0,701,190.0
254,135.0,0.0,818,135.0
255,320.0,0.0,834,320.0
256,60.0,0.0,669,60.0
257,160.0,0.0,665,160.0
258,230.0,0.0,911,230.0
259,300.0,0.0,937,300.0
260,200.0,0.0,844,200.0
261,200.0,0.0,673,200.0
262,180.0,0.0,878,180.0
263,325.0,0.0,1053,325.0
264,200.0,0.0,808,200.0
265,240.0,0.0,1096,240.0
266,185.0,0.0,700,185.0
267,120.0,0.0,725,120.0
268,245.0,0.0,1153,245.0
269,225.0,0.0,920,225.0
270,295.0,0.0,827,295.0
271,90.0,0.0,535,90.0
272,170.0,0.0,966,170.0
273,75.0,0.0,659,75.0
274,165.0,0.0,1066,165.0
275,340.0,0.0,1023,340.0
276,40.0,0.0,476,40.0
277,245.0,0.0,826,245.0
278,295.0,0.0,931,295.0
279,150.0,0.0,803,150.0
280,200.0,0.0,843,200.0
281,175.0,0.0,858,175.0
282,45.0,0.0,698,45.0
283,100.0,0.0,976,100.0
284,185.0,0.0,704,185.0
285,265.0,0.0,1217,265.0
286,320.0,0.0,1326,320.0
287,185.0,0.0,834,185.0
288,220.0,0.0,962,220.0
289,200.0,0.0,720,200.0
290,105.0,0.0,679,105.0
291,115.0,0.0,794,115.0
292,380.0,0.0,1193,380.0
293,185.0,0.0,657,185.0
294,245.0,0.0,851,245.0
295,175.0,0.0,897,175.0
296,170.0,0.0,634,170.0
297,35.0,0.0,629,35.0
298,105.0,0.0,675,105.0
299,255.0,0.0,1219,255.0
300,110.0,0.0,702,110.0
301,150.0,0.0,783,150.0
302,185.0,0.0,658,185.0
303,105.0,0.0,679,105.0
304,200.0,0.0,704,200.0
305,220.0,0.0,993,220.0
306,200.0,0.0,848,200.0
307,230.0,0.0,941,230.0
308,230.0,0.0,900,230.0
309,185.0,0.0,653,185.0
310,180.0,0.0,814,180.0
311,190.0,0.0,752,190.0
312,10.0,0.0,521,10.0
313,40.0,0.0,596,40.0
314,395.0,0.0,1053,395.0
315,390.0,0.0,1169,390.0
316,395.0,0.0,1139,395.0
317,160.0,0.0,948,160.0
318,185.0,0.0,656,185.0
319,195.0,0.0,832,195.0
320,35.0,0.0,488,35.0
321,185.0,0.0,660,185.0
322,270.0,0.0,972,270.0
323,170.0,0.0,836,170.0
324,105.0,0.0,674,105.0
325,240.0,0.0,987,240.0
326,240.0,0.0,894,240.0
327,150.0,0.0,661,150.0
328,160.0,0.0,809,160.0
329,185.0,0.0,653,185.0
330,60.0,0.0,484,60.0
331,50.0,0.0,519,50.0
332,315.0,0.0,865,315.0
333,200.0,0.0,852,200.0
334,425.0,0.0,1164,425.0
335,380.0,0.0,1445,380.0
336,200.0,0.0,849,200.0
337,265.0,0.0,1023,265.0
338,105.0,0.0,600,105.0
339,230.0,0.0,1074,230.0
340,185.0,0.0,701,185.0
341,70.0,0.0,622,70.0
342,185.0,0.0,653,185.0
343,255.0,0.0,798,255.0
344,165.0,0.0,1016,165.0
345,105.0,0.0,678,105.0
346,265.0,0.0,869,265.0
347,255.0,0.0,993,255.0
348,185.0,0.0,656,185.0
349,90.0,0.0,484,90.0
350,135.0,0.0,536,135.0
