game,score,steps
1,5.0,681
2,15.0,659
3,15.0,661
4,5.0,658
5,5.0,658
6,5.0,656
7,5.0,689
8,15.0,664
9,5.0,659
10,15.0,662
11,5.0,655
12,15.0,664
13,5.0,684
14,15.0,665
15,15.0,657
16,5.0,655
17,5.0,655
18,5.0,689
19,5.0,661
20,5.0,688
21,5.0,660
22,5.0,662
23,5.0,684
24,15.0,661
25,5.0,660
26,5.0,686
27,5.0,654
28,5.0,662
29,5.0,660
30,5.0,690
31,5.0,686
32,5.0,685
33,15.0,660
34,15.0,658
35,15.0,658
36,15.0,660
37,5.0,658
38,5.0,653
39,5.0,662
40,15.0,661
41,5.0,688
42,15.0,665
43,15.0,666
44,15.0,660
45,5.0,692
46,5.0,656
47,5.0,658
48,5.0,660
49,5.0,653
50,5.0,659
51,15.0,662
52,5.0,691
53,5.0,689
54,5.0,683
55,5.0,685
56,5.0,661
57,5.0,656
58,5.0,683
59,5.0,658
60,5.0,654
61,5.0,684
62,15.0,663
63,5.0,661
64,5.0,685
65,5.0,653
66,15.0,664
67,5.0,662
68,5.0,689
69,5.0,687
70,5.0,658
71,5.0,660
72,5.0,689
73,15.0,666
74,15.0,657
75,5.0,662
76,5.0,688
77,15.0,660
78,5.0,685
79,5.0,662
80,5.0,654
81,5.0,653
82,15.0,659
83,5.0,657
84,5.0,661
85,5.0,657
86,15.0,661
87,5.0,653
88,5.0,658
89,15.0,657
90,5.0,655
91,5.0,685
92,15.0,665
93,5.0,689
94,5.0,659
95,5.0,657
96,5.0,683
97,5.0,654
98,5.0,688
99,5.0,661
100,15.0,657
101,15.0,657
102,15.0,660
103,5.0,689
104,5.0,659
105,5.0,691
106,5.0,688
107,5.0,658
108,5.0,688
109,5.0,686
110,5.0,690
111,5.0,688
112,5.0,654
113,15.0,661
114,15.0,666
115,15.0,665
116,5.0,691
117,15.0,659
118,5.0,659
119,5.0,655
120,5.0,691
121,5.0,691
122,5.0,687
123,5.0,686
124,5.0,687
125,15.0,666
126,5.0,660
127,15.0,664
128,5.0,683
129,15.0,660
130,15.0,663
131,15.0,663
132,5.0,656
133,5.0,689
134,15.0,663
135,15.0,665
136,5.0,653
137,5.0,653
138,5.0,654
139,15.0,658
140,5.0,661
141,5.0,653
142,5.0,659
143,5.0,686
144,5.0,685
145,5.0,662
146,5.0,688
147,5.0,687
148,15.0,660
149,15.0,661
150,15.0,661
151,5.0,691
152,5.0,690
153,5.0,655
154,5.0,658
155,15.0,666
156,5.0,658
157,5.0,687
158,5.0,691
159,5.0,684
160,15.0,664
161,15.0,666
162,15.0,666
163,5.0,662
164,5.0,684
165,5.0,655
166,15.0,661
167,5.0,692
168,5.0,689
169,15.0,665
170,5.0,653
171,5.0,659
172,5.0,690
173,5.0,660
174,5.0,685
175,15.0,657
176,15.0,658
177,5.0,688
178,15.0,657
179,5.0,660
180,5.0,687
181,5.0,692
182,15.0,664
183,5.0,655
184,15.0,659
185,5.0,659
186,15.0,663
187,5.0,688
188,15.0,657
189,5.0,683
190,15.0,658
191,15.0,663
192,15.0,657
193,5.0,691
194,5.0,691
195,5.0,689
196,15.0,659
197,5.0,661
198,15.0,665
199,5.0,684
200,15.0,665
201,15.0,657
202,5.0,653
203,5.0,653
204,5.0,655
205,5.0,662
206,15.0,665
207,5.0,690
208,15.0,661
209,15.0,663
210,5.0,688
211,5.0,683
212,5.0,658
213,5.0,661
214,5.0,653
215,15.0,660
216,5.0,691
217,5.0,689
218,15.0,665
219,5.0,684
220,5.0,685
221,5.0,683
222,5.0,656
223,15.0,662
224,5.0,691
225,15.0,662
226,5.0,691
227,5.0,656
228,5.0,661
229,15.0,662
230,15.0,659
231,15.0,666
232,5.0,653
233,5.0,657
234,5.0,692
235,5.0,691
236,5.0,653
237,5.0,691
238,5.0,662
239,5.0,690
240,5.0,654
241,5.0,662
242,5.0,684
243,5.0,686
244,15.0,660
245,15.0,660
246,5.0,687
247,15.0,666
248,15.0,663
249,15.0,666
250,5.0,686
251,5.0,683
252,15.0,662
253,5.0,653
254,15.0,659
255,5.0,691
256,5.0,691
257,5.0,691
258,5.0,684
259,15.0,665
260,15.0,661
261,5.0,690
262,5.0,653
263,5.0,684
264,5.0,662
265,5.0,661
266,5.0,685
267,15.0,658
268,5.0,660
269,5.0,690
270,5.0,683
271,5.0,688
272,5.0,687
273,5.0,656
274,5.0,684
275,5.0,658
276,5.0,656
277,15.0,663
278,5.0,653
279,5.0,662
280,15.0,659
281,5.0,687
282,5.0,685
283,15.0,657
284,15.0,661
285,5.0,692
286,5.0,683
287,15.0,662
288,15.0,665
289,5.0,662
290,5.0,661
291,5.0,658
292,5.0,687
293,15.0,658
294,15.0,666
295,5.0,658
296,5.0,686
297,15.0,659
298,5.0,691
299,5.0,687
300,5.0,658
301,15.0,659
302,15.0,664
303,5.0,689
304,15.0,665
305,15.0,663
306,5.0,683
307,5.0,661
308,15.0,658
309,5.0,661
310,15.0,666
311,15.0,662
312,5.0,662
313,5.0,687
314,5.0,661
315,5.0,690
316,5.0,690
317,5.0,685
318,5.0,687
319,5.0,686
320,5.0,688
321,5.0,685
322,5.0,689
323,5.0,656
324,5.0,691
325,15.0,664
326,15.0,664
327,5.0,687
328,5.0,657
329,15.0,658
330,5.0,657
331,5.0,657
332,5.0,689
333,5.0,659
334,5.0,656
335,5.0,661
336,5.0,654
337,15.0,657
338,5.0,686
339,15.0,661
340,15.0,660
341,5.0,661
342,5.0,658
343,5.0,684
344,5.0,658
345,5.0,660
346,5.0,688
347,5.0,658
348,5.0,659
349,15.0,657
350,5.0,688
351,5.0,683
352,5.0,659
353,15.0,661
354,15.0,662
355,5.0,688
356,15.0,663
357,5.0,661
358,15.0,665
359,5.0,659
360,5.0,660
361,5.0,655
362,15.0,666
363,5.0,655
364,5.0,661
365,5.0,689
366,5.0,660
367,5.0,658
368,5.0,656
369,5.0,690
370,5.0,683
371,5.0,688
372,15.0,657
373,5.0,661
374,5.0,654
375,5.0,659
376,15.0,657
377,15.0,661
378,5.0,690
379,5.0,657
380,5.0,662
381,5.0,654
382,5.0,658
383,5.0,657
384,5.0,685
385,5.0,655
386,5.0,658
387,15.0,659
388,15.0,658
389,5.0,683
390,5.0,662
391,5.0,660
392,5.0,683
393,15.0,660
394,15.0,664
395,5.0,662
396,5.0,685
397,15.0,663
398,5.0,654
399,5.0,660
400,5.0,662
401,15.0,662
402,15.0,660
403,15.0,660
404,5.0,653
405,5.0,690
406,15.0,657
407,5.0,653
408,5.0,656
409,5.0,662
410,5.0,653
411,5.0,690
412,5.0,690
413,5.0,687
414,5.0,692
415,15.0,666
416,15.0,665
417,15.0,664
418,5.0,688
419,15.0,662
420,5.0,692
421,5.0,654
422,15.0,662
423,15.0,662
424,15.0,666
425,5.0,684
426,15.0,660
427,5.0,658
428,5.0,657
429,5.0,662
430,5.0,691
431,5.0,691
432,5.0,657
433,15.0,660
434,15.0,666
435,15.0,657
436,15.0,663
437,15.0,660
438,5.0,657
439,5.0,686
440,5.0,692
441,15.0,666
442,5.0,683
443,15.0,662
444,5.0,683
445,5.0,662
446,5.0,683
447,5.0,691
448,5.0,655
449,15.0,658
450,5.0,661
451,5.0,687
452,15.0,659
453,5.0,692
454,5.0,659
455,15.0,665
456,5.0,658
457,15.0,661
458,5.0,691
459,15.0,662
460,5.0,658
461,15.0,658
462,5.0,657
463,15.0,665
464,5.0,691
465,5.0,692
466,5.0,659
467,5.0,654
468,5.0,654
469,5.0,653
470,5.0,690
471,5.0,690
472,5.0,655
473,5.0,690
474,15.0,663
475,5.0,657
476,5.0,692
477,5.0,688
478,15.0,663
479,5.0,686
480,5.0,688
481,15.0,657
482,5.0,689
483,15.0,665
484,5.0,656
485,5.0,661
486,15.0,657
487,15.0,662
488,5.0,691
489,5.0,661
490,15.0,664
491,5.0,691
492,5.0,659
493,5.0,690
494,5.0,685
495,5.0,691
496,15.0,666
497,15.0,662
498,5.0,655
499,5.0,658
500,5.0,653
501,15.0,662
502,5.0,688
503,5.0,662
504,15.0,661
505,5.0,654
506,15.0,659
507,5.0,657
508,5.0,655
509,5.0,691
510,5.0,684
511,5.0,688
512,5.0,653
513,5.0,662
514,15.0,665
515,5.0,685
516,5.0,654
517,5.0,684
518,5.0,660
519,5.0,688
520,15.0,657
521,5.0,653
522,5.0,691
523,5.0,654
524,5.0,658
525,5.0,689
526,5.0,653
527,5.0,685
528,15.0,662
529,5.0,684
530,15.0,662
531,15.0,660
532,5.0,687
533,5.0,690
534,15.0,665
535,5.0,657
536,5.0,687
537,5.0,688
538,15.0,657
539,5.0,687
540,5.0,685
541,15.0,661
542,5.0,656
543,5.0,661
544,5.0,688
545,5.0,658
546,5.0,659
547,15.0,664
548,5.0,657
549,5.0,654
550,5.0,658
551,5.0,661
552,5.0,686
553,15.0,661
554,15.0,660
555,5.0,692
556,15.0,659
557,5.0,653
558,5.0,655
