game,score,steps
1,385.0,879
2,545.0,967
3,360.0,822
4,545.0,1034
5,385.0,879
6,335.0,874
7,265.0,841
8,615.0,1184
9,360.0,941
10,240.0,773
11,330.0,880
12,390.0,1152
13,240.0,912
14,455.0,1015
15,285.0,814
16,295.0,845
17,530.0,1309
18,305.0,931
19,305.0,806
20,425.0,1108
21,435.0,896
22,300.0,828
23,210.0,758
24,475.0,1134
25,490.0,987
26,330.0,865
27,390.0,822
28,270.0,873
29,290.0,800
30,260.0,827
31,345.0,878
32,300.0,851
33,240.0,809
34,245.0,731
35,230.0,685
36,375.0,793
37,295.0,823
38,495.0,1074
39,550.0,1330
40,225.0,861
41,475.0,1181
42,325.0,856
43,420.0,884
44,385.0,836
45,315.0,888
46,510.0,868
47,365.0,894
48,465.0,1185
49,425.0,1448
50,295.0,905
51,570.0,973
52,300.0,873
53,240.0,974
54,350.0,864
55,375.0,857
56,295.0,797
57,350.0,887
58,275.0,908
59,290.0,839
60,400.0,1171
61,325.0,885
62,310.0,796
63,400.0,950
64,365.0,828
65,440.0,862
66,360.0,686
67,290.0,815
68,365.0,938
69,225.0,824
70,355.0,865
71,350.0,865
72,470.0,993
73,230.0,598
74,235.0,943
75,380.0,845
76,380.0,1107
77,350.0,842
78,215.0,816
79,385.0,877
80,445.0,1033
81,285.0,756
82,425.0,1056
83,400.0,1052
84,375.0,906
85,260.0,930
86,305.0,835
87,305.0,792
88,290.0,813
89,340.0,1018
90,355.0,891
91,440.0,1150
92,125.0,335
93,415.0,771
94,545.0,969
95,535.0,974
96,380.0,869
97,420.0,946
98,310.0,900
99,295.0,822
100,380.0,981
101,370.0,868
102,435.0,1357
103,290.0,834
104,570.0,1080
105,450.0,934
106,335.0,720
107,375.0,828
108,410.0,885
109,315.0,759
110,400.0,1156
111,265.0,805
112,600.0,1382
113,475.0,1100
114,125.0,377
115,185.0,577
116,545.0,964
117,340.0,929
118,330.0,919
119,545.0,967
120,415.0,1012
121,325.0,826
122,410.0,992
123,350.0,905
124,545.0,964
125,265.0,822
126,230.0,959
127,325.0,961
128,345.0,874
129,355.0,963
130,235.0,686
131,260.0,879
132,325.0,866
