game,score,steps
1,135.0,473
2,245.0,841
3,240.0,761
4,375.0,945
5,295.0,916
6,235.0,763
7,250.0,785
8,290.0,739
9,215.0,656
10,290.0,734
11,285.0,788
12,285.0,792
13,335.0,1035
14,265.0,784
15,265.0,804
16,260.0,790
17,290.0,913
18,335.0,918
19,595.0,1201
20,235.0,956
21,200.0,693
22,245.0,846
23,560.0,882
24,180.0,636
25,385.0,1025
26,285.0,785
27,245.0,839
28,240.0,867
29,135.0,662
30,200.0,643
31,230.0,1009
32,200.0,696
33,275.0,937
34,365.0,932
35,265.0,739
36,235.0,816
37,155.0,633
38,330.0,993
39,290.0,739
40,270.0,825
41,285.0,788
42,265.0,803
43,290.0,734
44,175.0,707
45,270.0,776
46,225.0,688
47,230.0,825
48,510.0,963
49,110.0,518
50,245.0,840
51,245.0,839
52,185.0,628
53,275.0,916
54,270.0,774
55,315.0,954
56,245.0,840
57,225.0,780
58,265.0,729
59,280.0,903
60,585.0,968
61,350.0,1215
62,245.0,735
63,225.0,782
64,330.0,1074
65,275.0,832
66,215.0,654
67,235.0,682
68,200.0,495
69,245.0,844
70,215.0,818
71,110.0,523
72,285.0,755
73,265.0,715
74,255.0,690
75,420.0,1062
76,330.0,1172
77,430.0,1265
78,410.0,1007
79,230.0,684
80,370.0,863
81,225.0,629
82,195.0,682
83,725.0,1032
84,340.0,1003
85,215.0,670
86,285.0,786
87,380.0,1201
88,150.0,539
89,245.0,751
90,215.0,809
91,880.0,1095
92,285.0,790
93,320.0,954
94,60.0,392
95,260.0,787
96,570.0,1487
97,410.0,1339
98,260.0,791
99,340.0,913
100,425.0,1053
101,285.0,785
102,470.0,1089
103,240.0,820
104,265.0,706
105,290.0,738
106,285.0,790
107,205.0,757
108,290.0,731
109,180.0,533
110,305.0,813
111,265.0,948
112,270.0,781
113,470.0,1591
114,270.0,784
115,150.0,636
116,225.0,765
117,400.0,1075
118,140.0,490
119,340.0,1026
120,310.0,936
121,275.0,695
122,265.0,782
123,335.0,1030
124,255.0,842
125,270.0,845
126,390.0,957
127,295.0,932
128,240.0,863
129,315.0,912
130,435.0,1221
131,420.0,975
132,605.0,1064
133,355.0,1228
134,275.0,950
135,535.0,916
136,290.0,823
137,285.0,921
138,465.0,1451
139,215.0,691
140,240.0,864
141,160.0,629
142,495.0,869
143,240.0,881
144,240.0,1109
145,595.0,871
146,405.0,784
147,260.0,791
148,215.0,646
149,155.0,697
150,245.0,749
151,245.0,739
152,205.0,665
153,290.0,736
154,520.0,969
155,295.0,933
156,290.0,730
157,240.0,783
158,265.0,893
159,210.0,529
160,280.0,960
161,485.0,1322
162,210.0,903
163,215.0,671
164,175.0,638
165,350.0,892
166,240.0,821
167,510.0,1034
168,205.0,640
169,265.0,787
170,265.0,1042
171,365.0,1295
172,290.0,731
173,270.0,779
174,215.0,655
175,365.0,964
176,285.0,790
177,290.0,737
178,245.0,844
179,235.0,866
180,60.0,383
181,390.0,1024
182,225.0,690
183,275.0,895
184,150.0,623
185,255.0,932
186,285.0,788
187,380.0,926
188,485.0,869
189,315.0,821
190,325.0,860
191,230.0,680
192,285.0,751
193,250.0,674
194,310.0,900
195,280.0,750
196,265.0,778
197,260.0,820
198,500.0,971
199,320.0,933
200,285.0,790
201,290.0,736
202,265.0,815
203,265.0,921
204,520.0,977
205,285.0,789
206,400.0,1106
207,145.0,821
208,200.0,696
209,305.0,905
210,290.0,734
211,245.0,848
212,255.0,723
213,255.0,942
214,270.0,906
215,260.0,775
216,265.0,710
217,255.0,788
218,285.0,785
219,240.0,870
220,370.0,914
221,215.0,693
222,260.0,790
223,515.0,1012
224,290.0,730
225,285.0,756
226,295.0,788
227,510.0,1321
228,230.0,773
229,420.0,1269
230,245.0,844
231,310.0,884
232,285.0,751
233,285.0,789
234,425.0,1206
235,195.0,695
236,130.0,514
237,285.0,792
238,240.0,819
239,215.0,658
240,365.0,1048
241,285.0,789
242,320.0,974
243,95.0,537
244,250.0,832
245,650.0,1253
246,515.0,1016
247,180.0,664
248,130.0,635
249,180.0,638
250,285.0,788
251,340.0,886
252,265.0,914
